scheme,instance,method,alpha,status,objective,f_true,feasible,u_at_xstar,covered_at_xstar,slack,x0,x1,x2,x3,x4
paper,0,cmicl,0.1,optimal,4.122542799907585,51.147634324097915,1,0.282067290217729,1,1.1476343240979077,944.9014619794366,1259.8686159725821,997.18,1.8251605321650586,18.251605321650587
paper,0,nominal,0.1,optimal,3.6388825047738727,46.510224169522914,0,4.410106658624552,1,14.577573503982972,876.1977151390574,1168.26362018541,997.18,1.0877086996383776,10.877086996383781
paper,1,cmicl,0.1,optimal,60.86326404829416,49.91237381302835,0,4.718447854656915e-16,0,-0.08762618697164015,942.5237918003131,1193.065125965254,997.18,1.8002571722312508,18.00257172231251
paper,1,nominal,0.1,optimal,57.96488165758699,46.51022416952299,0,4.41010665862455,1,14.577573503983036,876.1977151390577,1168.2636201854102,997.18,1.0877086996383778,10.877086996383781
paper,2,cmicl,0.1,optimal,47.03017875232624,51.14763432409879,1,0.2820672902177308,1,1.1476343240987958,944.9014619794364,1259.868615972582,997.18,1.825160532165059,18.25160532165058
paper,2,nominal,0.1,optimal,45.79824471733326,46.51022416952297,0,4.4101066586245485,1,14.577573503983,876.1977151390577,1168.2636201854102,997.18,1.087708699638378,10.877086996383781
paper,3,cmicl,0.1,optimal,27.682808048347063,48.630118827381914,0,-1.3739009929736312e-14,0,-1.369881172618129,1335.9585781167418,940.097149928404,1214.507798287947,1.159641401088837,11.596414010888374
paper,3,nominal,0.1,optimal,22.585163842609777,47.168500977243,0,1.2204131741465747,1,4.118617838444592,1482.932,762.9979954463133,1348.12,1.2435744865332556,12.435744865332559
paper,4,cmicl,0.1,optimal,6.083151902348766,52.60731453831504,1,1.9458283986686178,1,2.607314538315059,1096.898,1462.5306666666665,997.18,0.5,45.282387261729966
paper,4,nominal,0.1,optimal,6.008127072618946,48.28820057865848,0,1.6980667570309156,1,1.3670803237945037,1096.8980000000001,1462.5306666666668,997.18,0.5,37.15473231921973
paper,5,cmicl,0.1,optimal,78.83064660199756,47.07139288625896,0,-1.0824674490095276e-15,0,-2.9286071137410303,1158.0798804738783,957.2030891354619,1052.7998913398894,0.5,49.334098823748036
paper,5,nominal,0.1,optimal,72.06322892584183,46.39256612046045,0,2.532628318057258,1,7.108444570753036,1096.8980000000001,830.0501014510344,997.18,1.0649299048949683,10.649299048949686
paper,6,cmicl,0.1,optimal,11.77481154643929,47.123879269552184,0,0.2429090305222044,0,-2.876120730447802,1004.3810511163166,1311.079947367957,1092.6609158551087,0.5,50.21905255581583
paper,6,nominal,0.1,optimal,11.209560218067713,46.51022416952299,0,4.41010665862455,1,14.577573503983036,876.1977151390577,1168.2636201854102,997.18,1.0877086996383778,10.877086996383781
paper,7,cmicl,0.1,optimal,30.91404645639604,55.69380240107187,1,0.7280321191697552,0,-1.3560455537459788,1096.898,1462.5306666666665,997.18,0.5,54.8449
paper,7,nominal,0.1,optimal,30.91404645639604,55.69380240107186,1,0.7280321191697563,0,-1.356045553745986,1096.8980000000001,1462.5306666666668,997.18,0.5,54.844899999999996
paper,8,cmicl,0.1,optimal,10.881954904935148,51.14763432409908,1,0.2820672902177326,1,1.14763432409908,944.9014619794367,1259.8686159725821,997.18,1.8251605321650586,18.251605321650597
paper,8,nominal,0.1,optimal,10.721366936175313,46.510224169522914,0,4.410106658624552,1,14.577573503982972,876.1977151390574,1168.26362018541,997.18,1.0877086996383776,10.877086996383781
paper,9,cmicl,0.1,optimal,36.45719249166322,51.14763432409178,1,0.2820672902177326,1,1.1476343240918112,944.9014619794362,1259.8686159725817,997.18,1.8251605321650586,18.251605321650587
