scheme,instance,method,alpha,status,objective,f_true,feasible,u_at_xstar,covered_at_xstar,slack,x0,x1,x2,x3,x4
paper,0,cmicl,0.1,optimal,4.579447124106441,54.52498740719912,1,1.609329272246586,1,4.524987407199163,989.3216192700269,1319.0954923600357,997.18,1.2429552618320396,12.429552618320397
paper,0,nominal,0.1,optimal,3.6388825047738727,46.510224169522914,0,1.706283679266389,1,3.9437846018971427,876.1977151390574,1168.26362018541,997.18,1.0877086996383776,10.877086996383781
paper,1,cmicl,0.1,optimal,63.05425440371225,54.23656654870498,1,1.5160472183482732,1,4.236566548705035,995.3211413394866,1291.0993014020544,997.18,1.2426023090337242,12.426023090337242
paper,1,nominal,0.1,optimal,57.96488165758699,46.51022416952299,0,1.7062836792663907,1,3.943784601897221,876.1977151390577,1168.2636201854102,997.18,1.0877086996383778,10.877086996383781
paper,2,cmicl,0.1,optimal,48.02726381361003,54.52498740719922,1,1.6093292722465842,1,4.524987407199212,989.3216192700271,1319.0954923600361,997.18,1.2429552618320439,12.429552618320438
paper,2,nominal,0.1,optimal,45.79824471733326,46.51022416952297,0,1.7062836792663907,1,3.9437846018971925,876.1977151390577,1168.2636201854102,997.18,1.087708699638378,10.877086996383781
paper,3,cmicl,0.1,optimal,30.37567105191234,52.88426859309449,1,1.196610727166183,1,2.884268593094504,1129.7631109052113,1036.463562851281,1027.0573735501919,1.2814440818948123,12.814440818948121
paper,3,nominal,0.1,optimal,22.585163842609777,47.168500977243,0,0.2564925722126254,1,0.4397226920149251,1482.932,762.9979954463133,1348.12,1.2435744865332556,12.435744865332559
paper,4,cmicl,0.1,optimal,6.012157369649778,48.5692342784368,0,1.0175305972514455,0,-1.4307657215631835,1096.8980000000001,1462.5306666666668,997.18,0.5,37.59134595367102
paper,4,nominal,0.1,optimal,6.008127072618946,48.28820057865848,0,1.0126868631964498,0,-1.5132671232639723,1096.8980000000001,1462.5306666666668,997.18,0.5,37.15473231921973
paper,5,cmicl,0.1,optimal,81.54367705137106,53.31854328598353,1,1.2408055941736507,1,3.3185432859835373,1096.898,1060.5685750242696,997.18,1.258836211844129,12.588362118441289
paper,5,nominal,0.1,optimal,72.06322892584183,46.39256612046045,0,0.7496566738034254,1,0.21588022101423832,1096.8980000000001,830.0501014510344,997.18,1.0649299048949683,10.649299048949686
paper,6,cmicl,0.1,optimal,12.427323375250857,52.4432881433741,1,1.6407379947325555,1,2.44328814337414,1032.87862479462,1377.1714997261602,997.1800000000001,0.5,51.643931239731
paper,6,nominal,0.1,optimal,11.209560218067713,46.51022416952299,0,1.7062836792663907,1,3.943784601897221,876.1977151390577,1168.2636201854102,997.18,1.0877086996383778,10.877086996383781
paper,7,cmicl,0.1,optimal,30.91404645639604,55.69380240107189,1,1.2089392494546818,1,0.05345713494116211,1096.8980000000001,1462.5306666666675,997.18,0.5,54.84490000000003
paper,7,nominal,0.1,optimal,30.91404645639604,55.69380240107186,1,1.2089392494546765,1,0.053457134941140794,1096.8980000000001,1462.5306666666668,997.18,0.5,54.844899999999996
paper,8,cmicl,0.1,optimal,11.132286405194405,54.52498740719922,1,1.6093292722465842,1,4.524987407199212,989.3216192700271,1319.0954923600361,997.18,1.2429552618320439,12.429552618320438
paper,8,nominal,0.1,optimal,10.721366936175313,46.510224169522914,0,1.706283679266389,1,3.9437846018971427,876.1977151390574,1168.26362018541,997.18,1.0877086996383776,10.877086996383781
