method,constraint_mode,outcome,frac,rhs,prescribed_mean,prescribed_sd,worst_case,low_quantile,given_mean,n_realizations
nominal,dlt_only,Any_DLT,0.3,0.6,0.9773015002330295,0.03770490528923517,0.8854166666666666,0.9379798689138577,0.8641843773442718,10.0
nominal,dlt_only,Blood,0.3,0.6,0.9229049179776906,0.13400398315787823,0.6666666666666666,0.6734082397003746,0.8747157783104551,10.0
nominal,dlt_only,Constitutional,0.3,0.6,0.9578709530298154,0.030671700915916582,0.9111111111111111,0.9161111111111111,0.880616816066049,10.0
nominal,dlt_only,Infection,0.3,0.6,0.9544301234214354,0.11011673931920402,0.6458333333333334,0.9140215355805243,0.8794551807664828,10.0
nominal,dlt_only,Gastrointestinal,0.3,0.6,0.9611979122798152,0.07974565623343896,0.7865168539325843,0.8319125549584758,0.872810444732228,10.0
nominal,dlt_only,Overall_Survival,0.3,0.6,11.327614128484225,0.7624310207122965,10.242330364514103,10.316593799271235,10.719008752957802,10.0
nominal,dlt_only,all_constraints,0.3,0.6,0.8337115695907986,0.19398775802396703,0.43820224719101125,0.5125702247191012,0.7164937708749525,10.0
nominal,all_constraints,Any_DLT,0.3,0.6,0.9908034544371651,0.0168696148734004,0.958904109589041,0.959890410958904,0.8785237355627853,10.0
nominal,all_constraints,Blood,0.3,0.6,0.9473988786775331,0.10050329037758347,0.6986301369863014,0.8258630136986301,0.8829797874384031,10.0
nominal,all_constraints,Constitutional,0.3,0.6,0.9665751836388875,0.025341599613728255,0.9130434782608695,0.9457347275729223,0.9086732156198446,10.0
nominal,all_constraints,Infection,0.3,0.6,0.9852602739726027,0.03797369650588926,0.88,0.9633424657534246,0.902673552203891,10.0
nominal,all_constraints,Gastrointestinal,0.3,0.6,0.9942823108993449,0.013948683527505012,0.9565217391304348,0.9833234067897557,0.8855696586984022,10.0
nominal,all_constraints,Overall_Survival,0.3,0.6,11.23258395563548,0.676059549732407,10.243513290403317,10.349637271659526,10.808469201958756,10.0
nominal,all_constraints,all_constraints,0.3,0.6,0.9050969529259104,0.11461520351724988,0.6438356164383562,0.7483835616438357,0.7507932968005778,10.0
robust_reg,dlt_only,Any_DLT,0.3,0.6,0.9323661554054434,0.1538476826338345,0.5057471264367817,0.8568247126436782,0.8641843773442718,10.0
robust_reg,dlt_only,Blood,0.3,0.6,0.8660099374470068,0.24456308379209496,0.26436781609195403,0.6451867816091954,0.8747157783104551,10.0
robust_reg,dlt_only,Constitutional,0.3,0.6,0.9580739858766878,0.02832466539240488,0.9166666666666666,0.9216666666666667,0.880616816066049,10.0
robust_reg,dlt_only,Infection,0.3,0.6,0.9005609028350993,0.2188291639724999,0.3218390804597701,0.6978089080459771,0.8794551807664828,10.0
robust_reg,dlt_only,Gastrointestinal,0.3,0.6,0.9437931315241256,0.11341943884940621,0.6781609195402298,0.7819465267366317,0.872810444732228,10.0
robust_reg,dlt_only,Overall_Survival,0.3,0.6,11.290290564519593,0.7969978239202987,10.256621724501867,10.280866668848837,10.719008752957802,10.0
robust_reg,dlt_only,all_constraints,0.3,0.6,0.8022154158639413,0.23537384542496234,0.2413793103448276,0.6053879310344829,0.7164937708749525,10.0
robust_reg,all_constraints,Any_DLT,0.3,0.6,0.9870734966312579,0.019467573010995297,0.9493670886075949,0.9579504074908964,0.8785237355627853,10.0
robust_reg,all_constraints,Blood,0.3,0.6,0.94309485000867,0.09030680693185668,0.7808219178082192,0.8071961158314548,0.8829797874384031,10.0
robust_reg,all_constraints,Constitutional,0.3,0.6,0.970070274204341,0.023084129533223696,0.9347826086956522,0.9357859531772575,0.9086732156198446,10.0
robust_reg,all_constraints,Infection,0.3,0.6,0.9714402635685799,0.057256045252831275,0.8481012658227848,0.8768101265822785,0.902673552203891,10.0
robust_reg,all_constraints,Gastrointestinal,0.3,0.6,0.9940286186020912,0.013157559822557499,0.9620253164556962,0.9766373142542653,0.8855696586984022,10.0
robust_reg,all_constraints,Overall_Survival,0.3,0.6,11.164476786215841,0.6314653128559145,10.32738149007755,10.350093321000148,10.808469201958756,10.0
robust_reg,all_constraints,all_constraints,0.3,0.6,0.9077952611993124,0.09519873077020187,0.7397260273972602,0.781972602739726,0.7507932968005778,10.0
cp,dlt_only,Any_DLT,0.3,0.6,0.9903219790509116,0.0138681406252079,0.9662921348314607,0.9685042134831461,0.8641843773442718,10.0
cp,dlt_only,Blood,0.3,0.6,0.9660163731550557,0.05966087602983158,0.8089887640449438,0.9152738764044944,0.8747157783104551,10.0
cp,dlt_only,Constitutional,0.3,0.6,0.9474475586096999,0.022294501463482972,0.90625,0.915625,0.880616816066049,10.0
cp,dlt_only,Infection,0.3,0.6,0.9850317168786269,0.023053133898531676,0.9375,0.9533005617977528,0.8794551807664828,10.0
cp,dlt_only,Gastrointestinal,0.3,0.6,0.9890011805894805,0.021709593328674323,0.9325842696629213,0.9736932095749878,0.872810444732228,10.0
cp,dlt_only,Overall_Survival,0.3,0.6,11.182436239406197,0.7390248732807225,10.109054709015693,10.294309961521394,10.719008752957802,10.0
cp,dlt_only,all_constraints,0.3,0.6,0.9034820846141859,0.07988310611680499,0.7078651685393258,0.8114115168539325,0.7164937708749525,10.0
cp,all_constraints,Any_DLT,0.3,0.6,0.9963813979086407,0.008354157754455796,0.9746835443037974,0.9876857457347276,0.8785237355627853,10.0
cp,all_constraints,Blood,0.3,0.6,0.9826088689990863,0.03193256883611412,0.8987341772151899,0.9611500134661999,0.8829797874384031,10.0
cp,all_constraints,Constitutional,0.3,0.6,0.9708740843546003,0.030835303814675162,0.9130434782608695,0.9336120401337793,0.9086732156198446,10.0
cp,all_constraints,Infection,0.3,0.6,0.9898734177215189,0.03202306491309751,0.8987341772151899,0.989873417721519,0.902673552203891,10.0
cp,all_constraints,Gastrointestinal,0.3,0.6,0.9916303966035949,0.01529281595176689,0.9565217391304348,0.9709946396664682,0.8855696586984022,10.0
cp,all_constraints,Overall_Survival,0.3,0.6,10.646446113562739,0.5631781843161211,10.026253126281295,10.091950465469584,10.808469201958756,10.0
cp,all_constraints,all_constraints,0.3,0.6,0.9447556174311396,0.047238345641399865,0.8607594936708861,0.8882498624105668,0.7507932968005778,10.0
nominal,dlt_only,Any_DLT,0.4,0.6,0.9424122807017543,0.10129670588101734,0.7083333333333334,0.8382017543859649,0.8600908639371202,10.0
nominal,dlt_only,Blood,0.4,0.6,0.8478942268461853,0.24620137634310296,0.3958333333333333,0.5037938596491228,0.8736609281038795,10.0
nominal,dlt_only,Constitutional,0.4,0.6,0.9417138070207691,0.02889664829611842,0.90625,0.90625,0.8742370541668076,10.0
nominal,dlt_only,Infection,0.4,0.6,0.8890899122807017,0.2107225219882394,0.3645833333333333,0.6711951754385965,0.8741039149947669,10.0
nominal,dlt_only,Gastrointestinal,0.4,0.6,0.9978219696969697,0.00459711281180578,0.9886363636363636,0.9894886363636364,0.8720744860128076,10.0
nominal,dlt_only,Overall_Survival,0.4,0.6,11.557002846913718,0.6996989178256865,10.350260950437177,10.514905964697315,10.706942070302993,10.0
nominal,dlt_only,all_constraints,0.4,0.6,0.7759387754937486,0.27757559199708476,0.20833333333333334,0.39978070175438596,0.7096306218483058,10.0
nominal,all_constraints,Any_DLT,0.4,0.6,0.9806662986283111,0.036025962842275924,0.9042553191489362,0.9219472710453284,0.8656139181788488,10.0
