iteration,max_violation,objective
0,0.010086258,-11.1669924404886
1,0.012383947,-11.045400332662204
2,0.00978517,-10.646163024616715
3,0.0054846806,-10.35764192332149
4,0.006177814,-10.335420886909944
5,0.005181013,-10.168918961191476
6,0.0041359393,-10.11298918496718
7,0.0032314197,-10.112878895147798
8,0.0035765083,-10.102960140194256
9,0.0021529733,-10.098797143392002
10,0.0021117434,-10.097873458694714
11,0.0036136913684203823,-9.99934892907897
12,0.0018252104,-9.966680165251667
13,0.0010107204,-9.958582341004387
14,0.0018223241,-9.955819626855611
15,0.0016330704,-9.953079924634508
16,0.0009983868,-9.93559757213103
17,0.00074103475,-9.900631490952799
18,0.00037827343,-9.900599994582267
