method,constraint_mode,outcome,rhs,prescribed_mean,prescribed_sd,worst_case,low_quantile,given_mean,n_realizations
nominal,dlt_only,Any_DLT,0.6,0.9742315129220902,0.0728158833704226,0.6236559139784946,0.9259539473684211,0.8545073826679239,30.0
nominal,dlt_only,Blood,0.6,0.9278916611303855,0.17602189951119154,0.23655913978494625,0.7024451754385965,0.8750943933745419,30.0
nominal,dlt_only,Constitutional,0.6,0.9424214615921699,0.031832361740754454,0.8333333333333334,0.9153225806451613,0.8671232157163719,30.0
nominal,dlt_only,Infection,0.6,0.9589870912379124,0.12441521199523982,0.3548387096774194,0.8970285087719299,0.8656969868146636,30.0
nominal,dlt_only,Gastrointestinal,0.6,0.9930443548387097,0.02794343117976769,0.8541666666666666,0.9989247311827957,0.8649762450350159,30.0
nominal,dlt_only,Overall_Survival,0.6,11.773199536028123,0.4319271384176931,10.43059696454141,11.197846837704052,10.693052936427922,30.0
nominal,dlt_only,all_constraints,0.6,0.8731542140260832,0.1858165910283285,0.1935483870967742,0.6562171052631579,0.6999798407819656,30.0
nominal,all_constraints,Any_DLT,0.6,0.9837842821250419,0.05337317447842703,0.7126436781609196,0.9568458781362008,0.8696650347735976,30.0
nominal,all_constraints,Blood,0.6,0.9461697846993472,0.15170873857022854,0.25287356321839083,0.8341335333833458,0.8788373112952096,30.0
nominal,all_constraints,Constitutional,0.6,0.9578607393445069,0.024038369215880775,0.9,0.9269281914893618,0.8820482760713831,30.0
nominal,all_constraints,Infection,0.6,0.9708329690910367,0.10968207339896509,0.40229885057471265,0.9412228057014254,0.8842459256714889,30.0
nominal,all_constraints,Gastrointestinal,0.6,0.991644309939778,0.030430305929244294,0.8372093023255814,0.9891597899474869,0.875771957966413,30.0
nominal,all_constraints,Overall_Survival,0.6,11.704595503469362,0.4023802949460389,10.51910723857329,11.176513618652152,10.73290376198482,30.0
nominal,all_constraints,all_constraints,0.6,0.8988299209126803,0.1597062763397032,0.20689655172413793,0.7738934733683421,0.7204089388043967,30.0
robust_reg,dlt_only,Any_DLT,0.6,0.9537602574985851,0.11168411019496054,0.6145833333333334,0.8437500000000001,0.8545073826679239,30.0
robust_reg,dlt_only,Blood,0.6,0.9001891152612713,0.23355380182619292,0.25,0.5540322580645163,0.8750943933745419,30.0
robust_reg,dlt_only,Constitutional,0.6,0.9441685376155617,0.03022209509709192,0.8854166666666666,0.9059475806451613,0.8671232157163719,30.0
robust_reg,dlt_only,Infection,0.6,0.9312733446519526,0.17546719313120845,0.375,0.7833333333333334,0.8656969868146636,30.0
robust_reg,dlt_only,Gastrointestinal,0.6,0.9853382616487455,0.045272261380864355,0.7708333333333334,0.9737231182795699,0.8649762450350159,30.0
robust_reg,dlt_only,Overall_Survival,0.6,11.882341451076384,0.31134401517467075,10.974561586445908,11.541817405973905,10.693052936427922,30.0
robust_reg,dlt_only,all_constraints,0.6,0.8411951599509703,0.2562027225253767,0.15053763440860216,0.33854166666666674,0.6999798407819656,30.0
robust_reg,all_constraints,Any_DLT,0.6,0.9765070808912699,0.05356518271394134,0.7816091954022989,0.9431022649279341,0.8696650347735976,30.0
robust_reg,all_constraints,Blood,0.6,0.9335914622617374,0.15690756107537018,0.4090909090909091,0.8153740562800276,0.8788373112952096,30.0
robust_reg,all_constraints,Constitutional,0.6,0.9614842209941675,0.024963988120166883,0.9,0.9340425531914894,0.8820482760713831,30.0
robust_reg,all_constraints,Infection,0.6,0.9616232198703965,0.09975168732549759,0.5517241379310345,0.9185312285518188,0.8842459256714889,30.0
robust_reg,all_constraints,Gastrointestinal,0.6,0.9839947871557697,0.04966765572420749,0.7441860465116279,0.974625322997416,0.875771957966413,30.0
