outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs,frac,strength
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.02007866899172465,0.005020694659712078,nominal,96,0,1042,0.6,0.5,calibrated
Blood,dlt_only,0.875,0.33245498310218435,0.9895833333333334,0.10206207261596574,13.0952380952381,96,96,0.02007866899172465,0.005020694659712078,nominal,96,0,1042,0.6,0.5,calibrated
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.96875,0.17490598978639324,12.048192771084333,96,96,0.02007866899172465,0.005020694659712078,nominal,96,0,1042,0.6,0.5,calibrated
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.02007866899172465,0.005020694659712078,nominal,96,0,1042,0.6,0.5,calibrated
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.02007866899172465,0.005020694659712078,nominal,96,0,1042,0.6,0.5,calibrated
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.928525342216346,0.9582011685872592,11.579597586308823,96,96,0.02007866899172465,0.005020694659712078,nominal,96,0,1042,0.6,0.5,calibrated
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.96875,0.17490598978639324,38.80597014925374,96,96,0.02007866899172465,0.005020694659712078,nominal,96,0,1042,0.6,0.5,calibrated
Any_DLT,all_constraints,0.8723404255319149,0.3354997092507591,1.0,0.0,14.63414634146341,96,94,0.07592691232760747,0.03456796162195596,nominal,94,0,1042,0.6,0.5,calibrated
Blood,all_constraints,0.8723404255319149,0.3354997092507591,1.0,0.0,14.63414634146341,96,94,0.07592691232760747,0.03456796162195596,nominal,94,0,1042,0.6,0.5,calibrated
Constitutional,all_constraints,0.8829787234042553,0.3231692182564118,0.9680851063829787,0.1767160202664313,9.638554216867472,96,94,0.07592691232760747,0.03456796162195596,nominal,94,0,1042,0.6,0.5,calibrated
Infection,all_constraints,0.8829787234042553,0.32316921825641187,1.0,0.0,13.253012048192772,96,94,0.07592691232760747,0.03456796162195596,nominal,94,0,1042,0.6,0.5,calibrated
Gastrointestinal,all_constraints,0.8829787234042553,0.32316921825641187,1.0,0.0,13.253012048192772,96,94,0.07592691232760747,0.03456796162195596,nominal,94,0,1042,0.6,0.5,calibrated
Overall_Survival,all_constraints,10.730295877840042,1.764989827595647,11.78178359125213,1.1740349093722429,9.799242494175731,96,94,0.07592691232760747,0.03456796162195596,nominal,94,0,1042,0.6,0.5,calibrated
all_constraints,all_constraints,0.7127659574468085,0.45489784805160016,0.9680851063829787,0.1767160202664313,35.820895522388064,96,94,0.07592691232760747,0.03456796162195596,nominal,94,0,1042,0.6,0.5,calibrated
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.022375511626402538,0.018038184740624713,robust_reg,96,0,1042,0.6,0.5,calibrated
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.022375511626402538,0.018038184740624713,robust_reg,96,0,1042,0.6,0.5,calibrated
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9479166666666666,0.22336148028967082,9.63855421686746,96,96,0.022375511626402538,0.018038184740624713,robust_reg,96,0,1042,0.6,0.5,calibrated
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.022375511626402538,0.018038184740624713,robust_reg,96,0,1042,0.6,0.5,calibrated
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.022375511626402538,0.018038184740624713,robust_reg,96,0,1042,0.6,0.5,calibrated
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.865559167065703,1.050626877034212,10.99061107848015,96,96,0.022375511626402538,0.018038184740624713,robust_reg,96,0,1042,0.6,0.5,calibrated
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9479166666666666,0.22336148028967082,35.820895522388064,96,96,0.022375511626402538,0.018038184740624713,robust_reg,96,0,1042,0.6,0.5,calibrated
Any_DLT,all_constraints,0.8723404255319149,0.3354997092507591,1.0,0.0,14.63414634146341,96,94,0.06355057160059611,0.032082636823415736,robust_reg,94,0,1042,0.6,0.5,calibrated
