method,constraint_mode,outcome,rhs,prescribed_mean,prescribed_sd,worst_case,low_quantile,given_mean,n_realizations
cp,dlt_only,Any_DLT,0.6,0.9726478494623658,0.05729841107548814,0.8020833333333334,0.9171706989247312,0.8538499979788181,20.0
cp,dlt_only,Blood,0.6,0.9332215619694398,0.14553703052750544,0.5833333333333334,0.6039650537634408,0.8758941475898183,20.0
cp,dlt_only,Constitutional,0.6,0.9366029877734036,0.03274780625177851,0.8541666666666666,0.911122311827957,0.8659069801519929,20.0
cp,dlt_only,Infection,0.6,0.9582719651952463,0.10355976997915842,0.6344086021505376,0.9031250000000001,0.8643167141644433,20.0
cp,dlt_only,Gastrointestinal,0.6,0.9952788978494624,0.012903297192401814,0.9479166666666666,0.9790994623655914,0.8643285303052919,20.0
cp,dlt_only,Overall_Survival,0.6,11.759641398820396,0.47616405940866036,10.382568085203784,10.928310863598028,10.692418603885455,20.0
cp,dlt_only,all_constraints,0.6,0.8745792540439187,0.14996234383695162,0.5,0.5584341397849462,0.6993493640273138,20.0
cp,all_constraints,Any_DLT,0.6,0.9731890212521248,0.036160029730522944,0.8854166666666666,0.9132215153267784,0.8670222598931261,20.0
cp,all_constraints,Blood,0.6,0.9422776132595951,0.09756568083749859,0.6043956043956044,0.8539254385964913,0.8759070118956288,20.0
cp,all_constraints,Constitutional,0.6,0.9517415789650213,0.024526692268957147,0.8817204301075269,0.9322382880277618,0.8799645717625377,20.0
cp,all_constraints,Infection,0.6,0.966314808994848,0.06083509660758588,0.78125,0.8971544245228457,0.879948939496123,20.0
cp,all_constraints,Gastrointestinal,0.6,0.9930530272802038,0.010480300642111464,0.967741935483871,0.9779276315789475,0.8745295158755013,20.0
cp,all_constraints,Overall_Survival,0.6,11.663325573019286,0.40106528465763874,10.668564627997576,11.016720104543532,10.723337578171243,20.0
cp,all_constraints,all_constraints,0.6,0.8924753731126833,0.10529789029730781,0.5384615384615384,0.815994623655914,0.715623346679285,20.0
