outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd
Any_DLT,all_constraints,0.8352941176470589,0.373116183345764,0.9764705882352941,0.15247721049352903,16.901408450704217,96,85,0.15741902589797974,0.0667285253793109
Blood,all_constraints,0.8,0.40237390808147827,0.8235294117647058,0.3834824944236852,2.941176470588225,96,85,0.15741902589797974,0.0667285253793109
Constitutional,all_constraints,0.9411764705882353,0.23669053416557545,1.0,0.0,6.250000000000002,96,85,0.15741902589797974,0.0667285253793109
Infection,all_constraints,0.8823529411764706,0.3241018617760822,0.9058823529411765,0.293725228409004,2.66666666666667,96,85,0.15741902589797974,0.0667285253793109
Gastrointestinal,all_constraints,0.8,0.40237390808147827,0.9882352941176471,0.1084652289093281,23.52941176470588,96,85,0.15741902589797974,0.0667285253793109
Overall_Survival,all_constraints,10.850856033407789,1.9276868437001526,12.056307681960904,1.4129895027128452,11.109276953281395,96,85,0.15741902589797974,0.0667285253793109
Any_DLT,dlt_only,0.8352941176470589,0.373116183345764,0.9058823529411765,0.29372522840900395,8.450704225352109,96,85,0.06832688798507054,0.01864643791811573
Blood,dlt_only,0.8,0.40237390808147827,0.7058823529411765,0.45834924851410563,-11.76470588235294,96,85,0.06832688798507054,0.01864643791811573
Constitutional,dlt_only,0.9411764705882353,0.23669053416557545,1.0,0.0,6.250000000000002,96,85,0.06832688798507054,0.01864643791811573
Infection,dlt_only,0.8823529411764706,0.3241018617760822,0.8117647058823529,0.393219847845319,-7.999999999999997,96,85,0.06832688798507054,0.01864643791811573
Gastrointestinal,dlt_only,0.8,0.40237390808147827,1.0,0.0,24.999999999999993,96,85,0.06832688798507054,0.01864643791811573
Overall_Survival,dlt_only,10.850856033407789,1.9276868437001526,12.445157296915841,1.349909914622584,14.69286163782371,96,85,0.06832688798507054,0.01864643791811573
