method,constraint_mode,outcome,rhs,prescribed_mean,prescribed_sd,worst_case,low_quantile,given_mean,n_realizations
wrapper,dlt_only,Any_DLT,0.6,0.994758064516129,0.01323695390381558,0.9583333333333334,0.9861559139784947,0.8573416590886366,10.0
wrapper,dlt_only,Blood,0.6,0.9515442379616644,0.07962311413398278,0.7604166666666666,0.8599126344086021,0.8741649128565797,10.0
wrapper,dlt_only,Constitutional,0.6,0.9515787651161414,0.021231645309004697,0.9166666666666666,0.9166666666666666,0.8733496800867169,10.0
wrapper,dlt_only,Infection,0.6,0.9777889784946237,0.046854474240489496,0.8854166666666666,0.8917674731182795,0.8711648175095164,10.0
wrapper,dlt_only,Gastrointestinal,0.6,0.988429172510519,0.019950120995401308,0.9375,0.9743951612903226,0.8668630040698865,10.0
wrapper,dlt_only,Overall_Survival,0.6,11.462335709240225,0.4131213953472986,10.768125665995493,10.978345216324465,10.691522345137482,10.0
wrapper,dlt_only,all_constraints,0.6,0.8957860465560668,0.08734891806394578,0.7083333333333334,0.815994623655914,0.7084564295332196,10.0
wrapper,all_constraints,Any_DLT,0.6,0.9741740235420011,0.05240366165713986,0.8571428571428571,0.8919642857142858,0.8725664276844769,10.0
wrapper,all_constraints,Blood,0.6,0.888836809504314,0.21602476572213097,0.38461538461538464,0.5822115384615384,0.8763811887918982,10.0
wrapper,all_constraints,Constitutional,0.6,0.9819374849520264,0.020881059339827347,0.9375,0.95625,0.8869836766087419,10.0
wrapper,all_constraints,Infection,0.6,0.9469057393916944,0.11789270052814245,0.6373626373626373,0.8324862637362637,0.8913452214966024,10.0
wrapper,all_constraints,Gastrointestinal,0.6,0.9956521739130434,0.0137490333050799,0.9565217391304348,0.9956521739130435,0.8779404521116364,10.0
wrapper,all_constraints,Overall_Survival,0.6,11.523411461289125,0.4380165525216974,10.740251927607856,11.011829153680091,10.726409996870942,10.0
wrapper,all_constraints,all_constraints,0.6,0.8611036661715815,0.23105881316773716,0.34065934065934067,0.5121909340659341,0.7273224374589582,10.0
