method,constraint_mode,outcome,prescribed_mean,prescribed_sd,worst_case,low_quantile,given_mean,n_realizations
nominal,all_constraints,Any_DLT,0.9854111405835544,0.02002608603520091,0.9615384615384616,0.9631299734748011,0.8314426586613216,5.0
nominal,all_constraints,Blood,0.9927055702917771,0.010013043017600485,0.9807692307692307,0.9815649867374004,0.8551188714024086,5.0
nominal,all_constraints,Constitutional,0.9411997018636631,0.03775806932663247,0.8813559322033898,0.9021468926553672,0.8064880647914954,5.0
nominal,all_constraints,Infection,0.9923076923076923,0.017200522903844526,0.9615384615384616,0.9769230769230769,0.8568535758688267,5.0
nominal,all_constraints,Gastrointestinal,1.0,0.0,1.0,1.0,0.8238229199095073,5.0
nominal,all_constraints,Overall_Survival,11.653338425388567,0.33948461354756093,11.06467619844733,11.31353375437278,10.752047623178937,5.0
nominal,all_constraints,all_constraints,0.9335073941713554,0.030993181645117388,0.8813559322033898,0.9021468926553672,0.6192429700871195,5.0
robust_reg,all_constraints,Any_DLT,0.9962264150943396,0.008437992367923731,0.9811320754716981,0.9886792452830189,0.8314426586613216,5.0
robust_reg,all_constraints,Blood,0.9924528301886791,0.016875984735847466,0.9622641509433962,0.9773584905660377,0.8551188714024086,5.0
robust_reg,all_constraints,Constitutional,0.9623242136526876,0.03840801261890018,0.8983050847457628,0.9251899473991818,0.8064880647914954,5.0
robust_reg,all_constraints,Infection,0.9924528301886791,0.016875984735847466,0.9622641509433962,0.9773584905660377,0.8568535758688267,5.0
robust_reg,all_constraints,Gastrointestinal,1.0,0.0,1.0,1.0,0.8238229199095073,5.0
robust_reg,all_constraints,Overall_Survival,11.157156424211117,0.738207700334284,9.919974769119774,10.428802043489737,10.752047623178937,5.0
robust_reg,all_constraints,all_constraints,0.954777043841367,0.037484783269992786,0.8983050847457628,0.9163415414134954,0.6192429700871195,5.0
cp,all_constraints,Any_DLT,0.9302529634791469,0.06660257264367662,0.8333333333333334,0.8615384615384616,0.8314426586613216,5.0
cp,all_constraints,Blood,0.8838802427277666,0.10240972372440967,0.7166666666666667,0.7838461538461539,0.8551188714024086,5.0
cp,all_constraints,Constitutional,0.9235478195811446,0.048491518917377255,0.85,0.8761016949152542,0.8064880647914954,5.0
cp,all_constraints,Infection,0.9163415809991242,0.08667218477859014,0.7666666666666667,0.8292307692307693,0.8568535758688267,5.0
cp,all_constraints,Gastrointestinal,0.9732768361581922,0.050812762802358996,0.8833333333333333,0.9232203389830509,0.8238229199095073,5.0
cp,all_constraints,Overall_Survival,11.255541616403331,0.5990440713742081,10.261073318144735,10.65405952937747,10.752047623178937,5.0
cp,all_constraints,all_constraints,0.7880558253504673,0.20104880104060127,0.43333333333333335,0.5907692307692307,0.6192429700871195,5.0
wrapper,all_constraints,Any_DLT,0.9966666666666667,0.007453559924999322,0.9833333333333333,0.99,0.8314426586613216,5.0
wrapper,all_constraints,Blood,0.99,0.022360679774997918,0.95,0.97,0.8551188714024086,5.0
wrapper,all_constraints,Constitutional,0.9310847593349274,0.0414726482193481,0.8813559322033898,0.8888135593220339,0.8064880647914954,5.0
wrapper,all_constraints,Infection,1.0,0.0,1.0,1.0,0.8568535758688267,5.0
wrapper,all_constraints,Gastrointestinal,0.9966666666666667,0.007453559924999322,0.9833333333333333,0.99,0.8238229199095073,5.0
wrapper,all_constraints,Overall_Survival,11.340707836181583,0.21491455131614925,11.068146205925116,11.124281907193078,10.752047623178937,5.0
wrapper,all_constraints,all_constraints,0.9244180926682608,0.049601230779052354,0.8666666666666667,0.8725423728813559,0.6192429700871195,5.0
