outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.016385590036710102,0.002009757260274224,nominal,96,0,1042,0.6
Blood,dlt_only,0.875,0.33245498310218435,0.9895833333333334,0.10206207261596574,13.0952380952381,96,96,0.016385590036710102,0.002009757260274224,nominal,96,0,1042,0.6
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.96875,0.17490598978639324,12.048192771084333,96,96,0.016385590036710102,0.002009757260274224,nominal,96,0,1042,0.6
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.016385590036710102,0.002009757260274224,nominal,96,0,1042,0.6
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.016385590036710102,0.002009757260274224,nominal,96,0,1042,0.6
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.928525342216346,0.9582011685872592,11.579597586308823,96,96,0.016385590036710102,0.002009757260274224,nominal,96,0,1042,0.6
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.96875,0.17490598978639324,38.80597014925374,96,96,0.016385590036710102,0.002009757260274224,nominal,96,0,1042,0.6
Any_DLT,all_constraints,0.8888888888888888,0.31603030875998483,1.0,0.0,12.500000000000007,96,90,0.0634655902783076,0.016254699809457925,nominal,94,0,1042,0.6
Blood,all_constraints,0.8777777777777778,0.3293772734489573,1.0,0.0,13.924050632911394,96,90,0.0634655902783076,0.016254699809457925,nominal,94,0,1042,0.6
Constitutional,all_constraints,0.9,0.3016806854192959,0.9777777777777777,0.14823135407896973,8.64197530864197,96,90,0.0634655902783076,0.016254699809457925,nominal,94,0,1042,0.6
Infection,all_constraints,0.9111111111111111,0.2861776161146146,1.0,0.0,9.756097560975613,96,90,0.0634655902783076,0.016254699809457925,nominal,94,0,1042,0.6
Gastrointestinal,all_constraints,0.9,0.3016806854192959,1.0,0.0,11.111111111111109,96,90,0.0634655902783076,0.016254699809457925,nominal,94,0,1042,0.6
Overall_Survival,all_constraints,10.734056448961857,1.7903855880651505,11.849114674490831,1.1531915202470362,10.388041378679514,96,90,0.0634655902783076,0.016254699809457925,nominal,94,0,1042,0.6
all_constraints,all_constraints,0.7444444444444445,0.4386165972131145,0.9777777777777777,0.14823135407896973,31.343283582089544,96,90,0.0634655902783076,0.016254699809457925,nominal,94,0,1042,0.6
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,0.9791666666666666,0.143575886163796,14.634146341463415,96,96,0.017042224605878193,0.004417290078957695,robust_reg,96,0,1042,0.6
Blood,dlt_only,0.875,0.33245498310218435,0.9479166666666666,0.22336148028967082,8.333333333333329,96,96,0.017042224605878193,0.004417290078957695,robust_reg,96,0,1042,0.6
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9479166666666666,0.22336148028967082,9.63855421686746,96,96,0.017042224605878193,0.004417290078957695,robust_reg,96,0,1042,0.6
Infection,dlt_only,0.8645833333333334,0.34396424742808945,0.9791666666666666,0.143575886163796,13.253012048192762,96,96,0.017042224605878193,0.004417290078957695,robust_reg,96,0,1042,0.6
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.017042224605878193,0.004417290078957695,robust_reg,96,0,1042,0.6
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.790856842536122,1.0793141516279547,10.291844460592097,96,96,0.017042224605878193,0.004417290078957695,robust_reg,96,0,1042,0.6
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9166666666666666,0.27783625115549687,31.343283582089555,96,96,0.017042224605878193,0.004417290078957695,robust_reg,96,0,1042,0.6
Any_DLT,all_constraints,0.8888888888888888,0.31603030875998483,1.0,0.0,12.500000000000007,96,90,0.06329862028360367,0.018763055248106862,robust_reg,90,0,1042,0.6
Blood,all_constraints,0.8777777777777778,0.3293772734489573,1.0,0.0,13.924050632911394,96,90,0.06329862028360367,0.018763055248106862,robust_reg,90,0,1042,0.6
Constitutional,all_constraints,0.9,0.3016806854192959,1.0,0.0,11.111111111111109,96,90,0.06329862028360367,0.018763055248106862,robust_reg,90,0,1042,0.6
Infection,all_constraints,0.9111111111111111,0.2861776161146146,1.0,0.0,9.756097560975613,96,90,0.06329862028360367,0.018763055248106862,robust_reg,90,0,1042,0.6
Gastrointestinal,all_constraints,0.9,0.3016806854192959,1.0,0.0,11.111111111111109,96,90,0.06329862028360367,0.018763055248106862,robust_reg,90,0,1042,0.6
Overall_Survival,all_constraints,10.734056448961857,1.7903855880651505,11.784930084118239,1.0781454894016202,9.790088585364362,96,90,0.06329862028360367,0.018763055248106862,robust_reg,90,0,1042,0.6
all_constraints,all_constraints,0.7444444444444445,0.4386165972131145,1.0,0.0,34.32835820895522,96,90,0.06329862028360367,0.018763055248106862,robust_reg,90,0,1042,0.6
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.04428774366776148,0.05778234401992296,cp,96,0,1042,0.6
Blood,dlt_only,0.875,0.33245498310218435,0.96875,0.17490598978639324,10.714285714285714,96,96,0.04428774366776148,0.05778234401992296,cp,96,0,1042,0.6
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9583333333333334,0.20087527770480487,10.843373493975903,96,96,0.04428774366776148,0.05778234401992296,cp,96,0,1042,0.6
Infection,dlt_only,0.8645833333333334,0.34396424742808945,0.9791666666666666,0.143575886163796,13.253012048192762,96,96,0.04428774366776148,0.05778234401992296,cp,96,0,1042,0.6
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,0.9583333333333334,0.20087527770480484,10.843373493975903,96,96,0.04428774366776148,0.05778234401992296,cp,96,0,1042,0.6
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.25999332795728,1.1580369902468741,5.3261395112697505,96,96,0.04428774366776148,0.05778234401992296,cp,96,0,1042,0.6
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.8854166666666666,0.320190458671962,26.865671641791046,96,96,0.04428774366776148,0.05778234401992296,cp,96,0,1042,0.6
Any_DLT,all_constraints,0.8888888888888888,0.31603030875998483,1.0,0.0,12.500000000000007,96,90,0.09700293093919754,0.05641731654903724,cp,95,0,1042,0.6
Blood,all_constraints,0.8777777777777778,0.3293772734489573,1.0,0.0,13.924050632911394,96,90,0.09700293093919754,0.05641731654903724,cp,95,0,1042,0.6
Constitutional,all_constraints,0.9,0.3016806854192959,1.0,0.0,11.111111111111109,96,90,0.09700293093919754,0.05641731654903724,cp,95,0,1042,0.6
Infection,all_constraints,0.9111111111111111,0.2861776161146146,1.0,0.0,9.756097560975613,96,90,0.09700293093919754,0.05641731654903724,cp,95,0,1042,0.6
Gastrointestinal,all_constraints,0.9,0.3016806854192959,1.0,0.0,11.111111111111109,96,90,0.09700293093919754,0.05641731654903724,cp,95,0,1042,0.6
Overall_Survival,all_constraints,10.734056448961857,1.7903855880651505,11.491492282297438,1.3634483911901045,7.056380194542729,96,90,0.09700293093919754,0.05641731654903724,cp,95,0,1042,0.6
