method,constraint_mode,outcome,rhs,prescribed_mean,prescribed_sd,worst_case,low_quantile,given_mean,n_realizations
nominal,all_constraints,Any_DLT,0.4,0.8852477945984388,0.10015618609873624,0.6538461538461539,0.7987179487179487,0.5462033315250132,10.0
nominal,all_constraints,Blood,0.4,0.539154715394204,0.16413526744765553,0.3157894736842105,0.32190152801358235,0.3721854369945851,10.0
nominal,all_constraints,Constitutional,0.4,0.7553567288192277,0.15924961206660984,0.5,0.5346153846153846,0.519013365091064,10.0
nominal,all_constraints,Infection,0.4,0.5999272197632329,0.1012119096778073,0.4074074074074074,0.4762246117084827,0.2620063406305292,10.0
nominal,all_constraints,Gastrointestinal,0.4,0.8355675171099121,0.15281697661280394,0.5789473684210527,0.6402476780185758,0.43435372358332514,10.0
nominal,all_constraints,Overall_Survival,0.4,10.807426696147964,0.61312026658649,10.151143489662603,10.25699815505546,10.875689581225316,10.0
nominal,all_constraints,all_constraints,0.4,0.3081421578004021,0.13568750812612185,0.14814814814814814,0.18900836320191158,0.14763902797898604,10.0
robust_reg,dlt_only,Any_DLT,0.4,0.7245721962893082,0.27725328500312957,0.1,0.34600000000000003,0.4092565839010563,10.0
robust_reg,dlt_only,Blood,0.4,0.5211072488319324,0.20452407727556615,0.15,0.2175,0.3011563283133627,10.0
robust_reg,dlt_only,Constitutional,0.4,0.5663020517756435,0.21120661305968363,0.2,0.33499999999999996,0.4288819916566079,10.0
robust_reg,dlt_only,Infection,0.4,0.3964349758920832,0.15609413946300438,0.05,0.257,0.1779898091435048,10.0
robust_reg,dlt_only,Gastrointestinal,0.4,0.4389606278964061,0.18621656170224132,0.11666666666666667,0.2986231884057971,0.30286604236227266,10.0
robust_reg,dlt_only,Overall_Survival,0.4,11.530470280421275,0.41057306609059985,10.703901067981876,10.95335537721444,10.575071399268435,10.0
robust_reg,dlt_only,all_constraints,0.4,0.14544243225702064,0.10710760567399029,0.0,0.024,0.09521984195752374,10.0
robust_reg,all_constraints,Any_DLT,0.4,0.8852477945984388,0.10015618609873624,0.6538461538461539,0.7987179487179487,0.5462033315250132,10.0
robust_reg,all_constraints,Blood,0.4,0.539154715394204,0.16413526744765553,0.3157894736842105,0.32190152801358235,0.3721854369945851,10.0
robust_reg,all_constraints,Constitutional,0.4,0.7553567288192277,0.15924961206660984,0.5,0.5346153846153846,0.519013365091064,10.0
robust_reg,all_constraints,Infection,0.4,0.5999272197632329,0.1012119096778073,0.4074074074074074,0.4762246117084827,0.2620063406305292,10.0
robust_reg,all_constraints,Gastrointestinal,0.4,0.8355675171099121,0.15281697661280394,0.5789473684210527,0.6402476780185758,0.43435372358332514,10.0
robust_reg,all_constraints,Overall_Survival,0.4,10.807426696147964,0.61312026658649,10.151143489662603,10.25699815505546,10.875689581225316,10.0
robust_reg,all_constraints,all_constraints,0.4,0.3081421578004021,0.13568750812612185,0.14814814814814814,0.18900836320191158,0.14763902797898604,10.0
cp,dlt_only,Any_DLT,0.4,0.7293680844412814,0.14993698984091758,0.3333333333333333,0.6713080168776371,0.4092565839010563,10.0
cp,dlt_only,Blood,0.4,0.5129762771098442,0.12586410056628694,0.18666666666666668,0.40116666666666667,0.3011563283133627,10.0
cp,dlt_only,Constitutional,0.4,0.5385249486925822,0.1152008160525638,0.36666666666666664,0.45666666666666667,0.4288819916566079,10.0
cp,dlt_only,Infection,0.4,0.41348737112241407,0.0601811343407456,0.29333333333333333,0.35933333333333334,0.1779898091435048,10.0
cp,dlt_only,Gastrointestinal,0.4,0.5493460438683904,0.1421131274259662,0.3333333333333333,0.37510548523206755,0.30286604236227266,10.0
cp,dlt_only,Overall_Survival,0.4,10.84090823948863,0.4372376850153019,10.128465982118673,10.363490823153615,10.575071399268435,10.0
cp,dlt_only,all_constraints,0.4,0.13858413631208139,0.07251235591347605,0.06666666666666667,0.07188405797101449,0.09521984195752374,10.0
cp,all_constraints,Any_DLT,0.4,0.8843015422090623,0.08594177106097559,0.6923076923076923,0.8025641025641025,0.5462033315250132,10.0
cp,all_constraints,Blood,0.4,0.5519356177037191,0.14028345173224016,0.34210526315789475,0.4008771929824561,0.3721854369945851,10.0
cp,all_constraints,Constitutional,0.4,0.7304590957422277,0.15852061246028876,0.5,0.5346153846153846,0.519013365091064,10.0
cp,all_constraints,Infection,0.4,0.60208032981108,0.10948750029239494,0.4074074074074074,0.4762246117084827,0.2620063406305292,10.0
cp,all_constraints,Gastrointestinal,0.4,0.8272740561848722,0.1643440395839729,0.5263157894736842,0.634984520123839,0.43435372358332514,10.0
cp,all_constraints,Overall_Survival,0.4,10.69365357349314,0.4782452597750076,10.153398444393982,10.207971290784268,10.875689581225316,10.0
cp,all_constraints,all_constraints,0.4,0.30420031250231994,0.14272430802454783,0.14814814814814814,0.15692007797270954,0.14763902797898604,10.0
nominal,dlt_only,Any_DLT,0.5,0.9347970910524136,0.09098049639330147,0.6829268292682927,0.8900318133616119,0.6425859413065533,10.0
nominal,dlt_only,Blood,0.5,0.9290243555321058,0.10529321584786686,0.6707317073170732,0.8286116322701689,0.6255111842253526,10.0
nominal,dlt_only,Constitutional,0.5,0.8900745101828486,0.036534700574415935,0.8170731707317073,0.8563908613769682,0.7378269547366827,10.0
nominal,dlt_only,Infection,0.5,0.9281228682646535,0.10005342430618044,0.6463414634146342,0.9059384941675505,0.7135012158953267,10.0
nominal,dlt_only,Gastrointestinal,0.5,0.9611046204978528,0.023480241413792742,0.9240506329113924,0.9310414269275028,0.5877705545121968,10.0
nominal,dlt_only,Overall_Survival,0.5,11.642588767805456,0.5384890606340464,10.587709285989279,10.94732095803447,10.691638823654014,10.0
nominal,dlt_only,all_constraints,0.5,0.8199445950786434,0.10257625123508482,0.5609756097560976,0.7604453870625664,0.43590972954739904,10.0
nominal,all_constraints,Any_DLT,0.5,0.9776448737247481,0.0253790152803809,0.9240506329113924,0.9505445981748603,0.6784723595288685,10.0
nominal,all_constraints,Blood,0.5,0.9409444957325397,0.06582101459757944,0.8023255813953488,0.8711416490486258,0.651627081585354,10.0
nominal,all_constraints,Constitutional,0.5,0.9497037390118797,0.03702017120097073,0.8928571428571429,0.9160299003322259,0.7959522619944621,10.0
nominal,all_constraints,Infection,0.5,0.968891289552235,0.02527716950502679,0.9240506329113924,0.9378596087456847,0.7538247039117538,10.0
nominal,all_constraints,Gastrointestinal,0.5,0.9890484613058451,0.012102901398112396,0.9746835443037974,0.9746835443037974,0.6321142726089752,10.0
nominal,all_constraints,Overall_Survival,0.5,11.414984435130865,0.49422554397481405,10.606616723832223,10.68756970465594,10.79593625155342,10.0
nominal,all_constraints,all_constraints,0.5,0.877622529403536,0.07716223923958164,0.7209302325581395,0.812599352369738,0.47452467554634953,10.0
robust_reg,dlt_only,Any_DLT,0.5,0.8737427636195072,0.19470362620758436,0.4891304347826087,0.520864262990456,0.6425859413065533,10.0
robust_reg,dlt_only,Blood,0.5,0.8926225970441891,0.18875731753306738,0.4782608695652174,0.5966065747613998,0.6255111842253526,10.0
robust_reg,dlt_only,Constitutional,0.5,0.8900378711989697,0.035479101722710606,0.8170731707317073,0.8563908613769682,0.7378269547366827,10.0
robust_reg,dlt_only,Infection,0.5,0.8563393465698594,0.22469505816653598,0.36585365853658536,0.49636797454931075,0.7135012158953267,10.0
robust_reg,dlt_only,Gastrointestinal,0.5,0.911007104123273,0.12840900443679093,0.5487804878048781,0.8863997879109226,0.5877705545121968,10.0
robust_reg,dlt_only,Overall_Survival,0.5,11.73470891755775,0.5077525817669101,10.69586003367921,10.936599319261614,10.691638823654014,10.0
robust_reg,dlt_only,all_constraints,0.5,0.7508537918073024,0.2624079021648931,0.13414634146341464,0.3851537645811241,0.43590972954739904,10.0
robust_reg,all_constraints,Any_DLT,0.5,0.9788353499152243,0.0249584667110193,0.9240506329113924,0.9505445981748603,0.6784723595288685,10.0
