outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,0.9479166666666666,0.22336148028967082,10.975609756097562,96,96,0.04748894770940145,0.056857052740348704,cp,96,0,1042
Blood,dlt_only,0.875,0.33245498310218435,0.8229166666666666,0.38374310668704464,-5.952380952380957,96,96,0.04748894770940145,0.056857052740348704,cp,96,0,1042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9375,0.2433321316961438,8.43373493975903,96,96,0.04748894770940145,0.056857052740348704,cp,96,0,1042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,0.9166666666666666,0.27783625115549687,6.02409638554216,96,96,0.04748894770940145,0.056857052740348704,cp,96,0,1042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.04748894770940145,0.056857052740348704,cp,96,0,1042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.968326226876565,1.0039151079194606,11.951895633767315,96,96,0.04748894770940145,0.056857052740348704,cp,96,0,1042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.7916666666666666,0.40824829046386296,13.432835820895523,96,96,0.04748894770940145,0.056857052740348704,cp,96,0,1042
Any_DLT,all_constraints,0.8888888888888888,0.31603030875998483,0.9666666666666667,0.18051113445691197,8.750000000000007,96,90,0.059597864747047424,0.03431070277076709,cp,94,0,1042
Blood,all_constraints,0.8666666666666667,0.34183904485045247,0.9,0.3016806854192959,3.8461538461538454,96,90,0.059597864747047424,0.03431070277076709,cp,94,0,1042
Constitutional,all_constraints,0.9,0.3016806854192959,0.9666666666666667,0.18051113445691194,7.407407407407406,96,90,0.059597864747047424,0.03431070277076709,cp,94,0,1042
Infection,all_constraints,0.9111111111111111,0.2861776161146146,0.9333333333333333,0.25084128112136317,2.439024390243906,96,90,0.059597864747047424,0.03431070277076709,cp,94,0,1042
Gastrointestinal,all_constraints,0.9,0.3016806854192959,1.0,0.0,11.111111111111109,96,90,0.059597864747047424,0.03431070277076709,cp,94,0,1042
Overall_Survival,all_constraints,10.773343076901186,1.7326893500175682,12.001073101455416,0.9972668042086177,11.395998584567222,96,90,0.059597864747047424,0.03431070277076709,cp,94,0,1042
all_constraints,all_constraints,0.7333333333333333,0.4446940622369092,0.8666666666666667,0.3418390448504524,18.181818181818194,96,90,0.059597864747047424,0.03431070277076709,cp,94,0,1042
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.020874562362829845,0.001186867285642836,nominal,96,0,1042
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.020874562362829845,0.001186867285642836,nominal,96,0,1042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9479166666666666,0.22336148028967082,9.63855421686746,96,96,0.020874562362829845,0.001186867285642836,nominal,96,0,1042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.020874562362829845,0.001186867285642836,nominal,96,0,1042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.020874562362829845,0.001186867285642836,nominal,96,0,1042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.970679522283255,0.968570228163165,11.973908392842482,96,96,0.020874562362829845,0.001186867285642836,nominal,96,0,1042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9479166666666666,0.22336148028967082,35.820895522388064,96,96,0.020874562362829845,0.001186867285642836,nominal,96,0,1042
Any_DLT,all_constraints,0.8888888888888888,0.31603030875998483,0.9888888888888889,0.10540925533894599,11.25000000000001,96,90,0.0652005026737849,0.028720562718729102,nominal,93,0,1042
Blood,all_constraints,0.8666666666666667,0.34183904485045247,0.9777777777777777,0.14823135407896973,12.820512820512814,96,90,0.0652005026737849,0.028720562718729102,nominal,93,0,1042
Constitutional,all_constraints,0.9,0.3016806854192959,0.9888888888888889,0.10540925533894599,9.876543209876546,96,90,0.0652005026737849,0.028720562718729102,nominal,93,0,1042
Infection,all_constraints,0.9111111111111111,0.2861776161146146,0.9888888888888889,0.10540925533894599,8.536585365853666,96,90,0.0652005026737849,0.028720562718729102,nominal,93,0,1042
Gastrointestinal,all_constraints,0.9,0.3016806854192959,1.0,0.0,11.111111111111109,96,90,0.0652005026737849,0.028720562718729102,nominal,93,0,1042
Overall_Survival,all_constraints,10.773343076901186,1.7326893500175682,11.941382070775951,0.9686025487308236,10.841936300897384,96,90,0.0652005026737849,0.028720562718729102,nominal,93,0,1042
all_constraints,all_constraints,0.7333333333333333,0.4446940622369092,0.9666666666666667,0.18051113445691191,31.818181818181827,96,90,0.0652005026737849,0.028720562718729102,nominal,93,0,1042
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.021265298128128052,0.002557237924590549,robust_reg,96,0,1042
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.021265298128128052,0.002557237924590549,robust_reg,96,0,1042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9791666666666666,0.143575886163796,13.253012048192762,96,96,0.021265298128128052,0.002557237924590549,robust_reg,96,0,1042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.021265298128128052,0.002557237924590549,robust_reg,96,0,1042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.021265298128128052,0.002557237924590549,robust_reg,96,0,1042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.94812450417013,0.9642490522635561,11.762928429065427,96,96,0.021265298128128052,0.002557237924590549,robust_reg,96,0,1042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9791666666666666,0.143575886163796,40.29850746268657,96,96,0.021265298128128052,0.002557237924590549,robust_reg,96,0,1042
Any_DLT,all_constraints,0.8888888888888888,0.31603030875998483,0.9,0.3016806854192959,1.2500000000000082,96,90,0.1594098707040151,0.306491464475975,robust_reg,93,0,1042
Blood,all_constraints,0.8666666666666667,0.34183904485045247,0.4777777777777778,0.502304303170668,-44.871794871794876,96,90,0.1594098707040151,0.306491464475975,robust_reg,93,0,1042
Constitutional,all_constraints,0.9,0.3016806854192959,0.9888888888888889,0.10540925533894599,9.876543209876546,96,90,0.1594098707040151,0.306491464475975,robust_reg,93,0,1042
Infection,all_constraints,0.9111111111111111,0.2861776161146146,0.7111111111111111,0.4557853931339366,-21.95121951219512,96,90,0.1594098707040151,0.306491464475975,robust_reg,93,0,1042
Gastrointestinal,all_constraints,0.9,0.3016806854192959,1.0,0.0,11.111111111111109,96,90,0.1594098707040151,0.306491464475975,robust_reg,93,0,1042
Overall_Survival,all_constraints,10.773343076901186,1.7326893500175682,12.076259770681316,1.3301233712149385,12.093894016739114,96,90,0.1594098707040151,0.306491464475975,robust_reg,93,0,1042
all_constraints,all_constraints,0.7333333333333333,0.4446940622369092,0.4444444444444444,0.49968779266390767,-39.39393939393939,96,90,0.1594098707040151,0.306491464475975,robust_reg,93,0,1042
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,0.9895833333333334,0.10206207261596575,15.853658536585376,96,96,0.05366154760122299,0.09077391844569792,cp,96,1,2042
Blood,dlt_only,0.875,0.33245498310218435,0.9479166666666666,0.2233614802896708,8.333333333333329,96,96,0.05366154760122299,0.09077391844569792,cp,96,1,2042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9479166666666666,0.22336148028967082,9.63855421686746,96,96,0.05366154760122299,0.09077391844569792,cp,96,1,2042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,0.96875,0.17490598978639324,12.048192771084333,96,96,0.05366154760122299,0.09077391844569792,cp,96,1,2042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.05366154760122299,0.09077391844569792,cp,96,1,2042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.49008942603644,1.2057459990809818,7.478461721542398,96,96,0.05366154760122299,0.09077391844569792,cp,96,1,2042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.8958333333333334,0.3070801941090227,28.358208955223894,96,96,0.05366154760122299,0.09077391844569792,cp,96,1,2042
Any_DLT,all_constraints,0.8666666666666667,0.34183904485045247,0.9666666666666667,0.18051113445691194,11.538461538461537,96,90,0.1639356662829717,0.1560343317785862,cp,91,1,2042
Blood,all_constraints,0.8777777777777778,0.3293772734489573,0.9,0.3016806854192959,2.531645569620257,96,90,0.1639356662829717,0.1560343317785862,cp,91,1,2042
Constitutional,all_constraints,0.9,0.3016806854192959,0.9555555555555556,0.20723493215097802,6.172839506172842,96,90,0.1639356662829717,0.1560343317785862,cp,91,1,2042
Infection,all_constraints,0.8888888888888888,0.31603030875998483,0.9333333333333333,0.25084128112136317,5.000000000000007,96,90,0.1639356662829717,0.1560343317785862,cp,91,1,2042
Gastrointestinal,all_constraints,0.8777777777777778,0.3293772734489573,0.9888888888888889,0.10540925533894599,12.658227848101271,96,90,0.1639356662829717,0.1560343317785862,cp,91,1,2042
Overall_Survival,all_constraints,10.812061888408184,1.7315741819250006,11.62822293368538,1.404608658329041,7.548616107647498,96,90,0.1639356662829717,0.1560343317785862,cp,91,1,2042
all_constraints,all_constraints,0.7333333333333333,0.4446940622369092,0.8555555555555555,0.3535092488376122,16.666666666666668,96,90,0.1639356662829717,0.1560343317785862,cp,91,1,2042
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.013621501624584198,0.003094742877136923,nominal,96,1,2042
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.013621501624584198,0.003094742877136923,nominal,96,1,2042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9583333333333334,0.20087527770480484,10.843373493975903,96,96,0.013621501624584198,0.003094742877136923,nominal,96,1,2042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.013621501624584198,0.003094742877136923,nominal,96,1,2042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.013621501624584198,0.003094742877136923,nominal,96,1,2042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.958514361235729,1.0086727308433052,11.860115301465816,96,96,0.013621501624584198,0.003094742877136923,nominal,96,1,2042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9583333333333334,0.20087527770480484,37.31343283582091,96,96,0.013621501624584198,0.003094742877136923,nominal,96,1,2042
Any_DLT,all_constraints,0.8666666666666667,0.34183904485045247,0.9888888888888889,0.10540925533894599,14.102564102564104,96,90,0.04531818131605784,0.02751035577044375,nominal,95,1,2042
Blood,all_constraints,0.8777777777777778,0.3293772734489573,0.9888888888888889,0.10540925533894599,12.658227848101271,96,90,0.04531818131605784,0.02751035577044375,nominal,95,1,2042
