outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed
Constitutional,all_constraints,0.9,0.3016806854192959,0.9777777777777777,0.14823135407896973,8.64197530864197,96,90,0.04531818131605784,0.02751035577044375,nominal,95,1,2042
Infection,all_constraints,0.8888888888888888,0.31603030875998483,1.0,0.0,12.500000000000007,96,90,0.04531818131605784,0.02751035577044375,nominal,95,1,2042
Gastrointestinal,all_constraints,0.8777777777777778,0.3293772734489573,1.0,0.0,13.924050632911394,96,90,0.04531818131605784,0.02751035577044375,nominal,95,1,2042
Overall_Survival,all_constraints,10.812061888408184,1.7315741819250006,11.971758640686767,1.0362118754102492,10.725953701041202,96,90,0.04531818131605784,0.02751035577044375,nominal,95,1,2042
all_constraints,all_constraints,0.7333333333333333,0.4446940622369092,0.9777777777777777,0.14823135407896973,33.333333333333336,96,90,0.04531818131605784,0.02751035577044375,nominal,95,1,2042
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.02691958596309026,0.045014282930587186,robust_reg,96,1,2042
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.02691958596309026,0.045014282930587186,robust_reg,96,1,2042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9791666666666666,0.143575886163796,13.253012048192762,96,96,0.02691958596309026,0.045014282930587186,robust_reg,96,1,2042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.02691958596309026,0.045014282930587186,robust_reg,96,1,2042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.02691958596309026,0.045014282930587186,robust_reg,96,1,2042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.936955176816634,0.9684186326779508,11.658450380383067,96,96,0.02691958596309026,0.045014282930587186,robust_reg,96,1,2042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9791666666666666,0.143575886163796,40.29850746268657,96,96,0.02691958596309026,0.045014282930587186,robust_reg,96,1,2042
Any_DLT,all_constraints,0.8666666666666667,0.34183904485045247,1.0,0.0,15.384615384615381,96,90,0.06988576054573059,0.04714469474299175,robust_reg,94,1,2042
Blood,all_constraints,0.8777777777777778,0.3293772734489573,1.0,0.0,13.924050632911394,96,90,0.06988576054573059,0.04714469474299175,robust_reg,94,1,2042
Constitutional,all_constraints,0.9,0.3016806854192959,0.9888888888888889,0.10540925533894599,9.876543209876546,96,90,0.06988576054573059,0.04714469474299175,robust_reg,94,1,2042
Infection,all_constraints,0.8888888888888888,0.31603030875998483,1.0,0.0,12.500000000000007,96,90,0.06988576054573059,0.04714469474299175,robust_reg,94,1,2042
Gastrointestinal,all_constraints,0.8777777777777778,0.3293772734489573,1.0,0.0,13.924050632911394,96,90,0.06988576054573059,0.04714469474299175,robust_reg,94,1,2042
Overall_Survival,all_constraints,10.812061888408184,1.7315741819250006,10.039560409493665,0.912635970373202,-7.14481184891045,96,90,0.06988576054573059,0.04714469474299175,robust_reg,94,1,2042
all_constraints,all_constraints,0.7333333333333333,0.4446940622369092,0.9888888888888889,0.10540925533894599,34.848484848484865,96,90,0.06988576054573059,0.04714469474299175,robust_reg,94,1,2042
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.09482896079619725,0.1319863473140769,cp,96,2,3042
Blood,dlt_only,0.875,0.33245498310218435,0.9791666666666666,0.143575886163796,11.9047619047619,96,96,0.09482896079619725,0.1319863473140769,cp,96,2,3042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9375,0.2433321316961438,8.43373493975903,96,96,0.09482896079619725,0.1319863473140769,cp,96,2,3042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,0.9895833333333334,0.10206207261596574,14.457831325301203,96,96,0.09482896079619725,0.1319863473140769,cp,96,2,3042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.09482896079619725,0.1319863473140769,cp,96,2,3042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.104907456657621,1.0296187824421175,3.875464040958606,96,96,0.09482896079619725,0.1319863473140769,cp,96,2,3042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9166666666666666,0.27783625115549687,31.343283582089555,96,96,0.09482896079619725,0.1319863473140769,cp,96,2,3042
Any_DLT,all_constraints,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.14972066630919775,0.08208264124066594,cp,96,2,3042
Blood,all_constraints,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.14972066630919775,0.08208264124066594,cp,96,2,3042
Constitutional,all_constraints,0.8645833333333334,0.34396424742808945,0.9479166666666666,0.22336148028967082,9.63855421686746,96,96,0.14972066630919775,0.08208264124066594,cp,96,2,3042
Infection,all_constraints,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.14972066630919775,0.08208264124066594,cp,96,2,3042
Gastrointestinal,all_constraints,0.8645833333333334,0.3439642474280894,0.9895833333333334,0.10206207261596574,14.457831325301203,96,96,0.14972066630919775,0.08208264124066594,cp,96,2,3042
Overall_Survival,all_constraints,10.690597206168823,1.779425762099106,11.496223560236373,1.1621505508380037,7.535840501058985,96,96,0.14972066630919775,0.08208264124066594,cp,96,2,3042
all_constraints,all_constraints,0.6979166666666666,0.4615714956689105,0.9479166666666666,0.22336148028967082,35.820895522388064,96,96,0.14972066630919775,0.08208264124066594,cp,96,2,3042
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.03000348558028539,0.027020565387831704,nominal,96,2,3042
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.03000348558028539,0.027020565387831704,nominal,96,2,3042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9583333333333334,0.20087527770480484,10.843373493975903,96,96,0.03000348558028539,0.027020565387831704,nominal,96,2,3042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.03000348558028539,0.027020565387831704,nominal,96,2,3042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.03000348558028539,0.027020565387831704,nominal,96,2,3042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,10.977127371492067,1.0191008451216936,2.680207286810008,96,96,0.03000348558028539,0.027020565387831704,nominal,96,2,3042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9583333333333334,0.20087527770480484,37.31343283582091,96,96,0.03000348558028539,0.027020565387831704,nominal,96,2,3042
Any_DLT,all_constraints,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.11699479569991429,0.04347550535433513,nominal,96,2,3042
Blood,all_constraints,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.11699479569991429,0.04347550535433513,nominal,96,2,3042
Constitutional,all_constraints,0.8645833333333334,0.34396424742808945,0.9583333333333334,0.20087527770480484,10.843373493975903,96,96,0.11699479569991429,0.04347550535433513,nominal,96,2,3042
Infection,all_constraints,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.11699479569991429,0.04347550535433513,nominal,96,2,3042
Gastrointestinal,all_constraints,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.11699479569991429,0.04347550535433513,nominal,96,2,3042
Overall_Survival,all_constraints,10.690597206168823,1.779425762099106,10.985628201280784,1.0143039590601926,2.7597241708977576,96,96,0.11699479569991429,0.04347550535433513,nominal,96,2,3042
all_constraints,all_constraints,0.6979166666666666,0.4615714956689105,0.9583333333333334,0.20087527770480484,37.31343283582091,96,96,0.11699479569991429,0.04347550535433513,nominal,96,2,3042
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.013118073344230652,0.0012818647842377754,robust_reg,96,2,3042
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.013118073344230652,0.0012818647842377754,robust_reg,96,2,3042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9479166666666666,0.22336148028967082,9.63855421686746,96,96,0.013118073344230652,0.0012818647842377754,robust_reg,96,2,3042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.013118073344230652,0.0012818647842377754,robust_reg,96,2,3042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.013118073344230652,0.0012818647842377754,robust_reg,96,2,3042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.966743111174985,0.9708566881066293,11.93708714672913,96,96,0.013118073344230652,0.0012818647842377754,robust_reg,96,2,3042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9479166666666666,0.22336148028967082,35.820895522388064,96,96,0.013118073344230652,0.0012818647842377754,robust_reg,96,2,3042
Any_DLT,all_constraints,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.04481165111064911,0.034333416625665206,robust_reg,96,2,3042
Blood,all_constraints,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.04481165111064911,0.034333416625665206,robust_reg,96,2,3042
Constitutional,all_constraints,0.8645833333333334,0.34396424742808945,0.96875,0.17490598978639324,12.048192771084333,96,96,0.04481165111064911,0.034333416625665206,robust_reg,96,2,3042
Infection,all_constraints,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.04481165111064911,0.034333416625665206,robust_reg,96,2,3042
Gastrointestinal,all_constraints,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.04481165111064911,0.034333416625665206,robust_reg,96,2,3042
Overall_Survival,all_constraints,10.690597206168823,1.779425762099106,11.935263346046638,1.0193128686110629,11.64262497103157,96,96,0.04481165111064911,0.034333416625665206,robust_reg,96,2,3042
all_constraints,all_constraints,0.6979166666666666,0.4615714956689105,0.96875,0.17490598978639324,38.80597014925374,96,96,0.04481165111064911,0.034333416625665206,robust_reg,96,2,3042
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,0.9583333333333334,0.20087527770480484,12.195121951219523,96,96,0.06734583030144374,0.09217097754748294,cp,96,3,4042
Blood,dlt_only,0.875,0.33245498310218435,0.9270833333333334,0.2613645031536837,5.952380952380957,96,96,0.06734583030144374,0.09217097754748294,cp,96,3,4042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9479166666666666,0.22336148028967082,9.63855421686746,96,96,0.06734583030144374,0.09217097754748294,cp,96,3,4042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,0.9479166666666666,0.2233614802896708,9.63855421686746,96,96,0.06734583030144374,0.09217097754748294,cp,96,3,4042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,0.9895833333333334,0.10206207261596574,14.457831325301203,96,96,0.06734583030144374,0.09217097754748294,cp,96,3,4042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.588345110830138,1.0103214805357565,8.397546810044304,96,96,0.06734583030144374,0.09217097754748294,cp,96,3,4042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.875,0.33245498310218435,25.373134328358212,96,96,0.06734583030144374,0.09217097754748294,cp,96,3,4042
Any_DLT,all_constraints,0.8695652173913043,0.3386265505758479,0.9565217391304348,0.20504855915155562,10.000000000000005,96,92,0.6762267077962557,0.9429055477632485,cp,92,3,4042
Blood,all_constraints,0.8695652173913043,0.3386265505758479,0.9021739130434783,0.29870720011393176,3.750000000000004,96,92,0.6762267077962557,0.9429055477632485,cp,92,3,4042
Constitutional,all_constraints,0.8695652173913043,0.33862655057584784,0.9565217391304348,0.20504855915155562,10.000000000000005,96,92,0.6762267077962557,0.9429055477632485,cp,92,3,4042
Infection,all_constraints,0.8804347826086957,0.32623025995934074,0.9239130434782609,0.26659001127895315,4.938271604938268,96,92,0.6762267077962557,0.9429055477632485,cp,92,3,4042
Gastrointestinal,all_constraints,0.8804347826086957,0.3262302599593407,1.0,0.0,13.580246913580243,96,92,0.6762267077962557,0.9429055477632485,cp,92,3,4042
Overall_Survival,all_constraints,10.716991893932416,1.8025823023425238,11.30085447931772,1.2369196769550057,5.448008089992744,96,92,0.6762267077962557,0.9429055477632485,cp,92,3,4042
all_constraints,all_constraints,0.7065217391304348,0.4578507717505198,0.8586956521739131,0.3502439256481348,21.53846153846154,96,92,0.6762267077962557,0.9429055477632485,cp,92,3,4042
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.017832035819689434,0.023303393582845913,nominal,96,3,4042
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.017832035819689434,0.023303393582845913,nominal,96,3,4042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.96875,0.17490598978639324,12.048192771084333,96,96,0.017832035819689434,0.023303393582845913,nominal,96,3,4042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.017832035819689434,0.023303393582845913,nominal,96,3,4042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.017832035819689434,0.023303393582845913,nominal,96,3,4042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.929297392054465,0.9719381708727999,11.58681935159686,96,96,0.017832035819689434,0.023303393582845913,nominal,96,3,4042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.96875,0.17490598978639324,38.80597014925374,96,96,0.017832035819689434,0.023303393582845913,nominal,96,3,4042
Any_DLT,all_constraints,0.8695652173913043,0.3386265505758479,1.0,0.0,15.000000000000004,96,92,0.10110906511545181,0.18692697578219084,nominal,96,3,4042
Blood,all_constraints,0.8695652173913043,0.3386265505758479,1.0,0.0,15.000000000000004,96,92,0.10110906511545181,0.18692697578219084,nominal,96,3,4042
Constitutional,all_constraints,0.8695652173913043,0.33862655057584784,0.967391304347826,0.17858337274913305,11.249999999999998,96,92,0.10110906511545181,0.18692697578219084,nominal,96,3,4042
Infection,all_constraints,0.8804347826086957,0.32623025995934074,1.0,0.0,13.580246913580243,96,92,0.10110906511545181,0.18692697578219084,nominal,96,3,4042
Gastrointestinal,all_constraints,0.8804347826086957,0.3262302599593407,1.0,0.0,13.580246913580243,96,92,0.10110906511545181,0.18692697578219084,nominal,96,3,4042
Overall_Survival,all_constraints,10.716991893932416,1.8025823023425238,11.821092801582278,1.2487191906699375,10.302339673084617,96,92,0.10110906511545181,0.18692697578219084,nominal,96,3,4042
all_constraints,all_constraints,0.7065217391304348,0.4578507717505198,0.967391304347826,0.17858337274913305,36.92307692307691,96,92,0.10110906511545181,0.18692697578219084,nominal,96,3,4042
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,0.46875,0.501642040544954,-45.12195121951219,96,96,0.1013414313395818,0.07541914935714364,robust_reg,96,3,4042
Blood,dlt_only,0.875,0.33245498310218435,0.17708333333333334,0.3837431066870447,-79.76190476190474,96,96,0.1013414313395818,0.07541914935714364,robust_reg,96,3,4042
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9270833333333334,0.2613645031536837,7.228915662650602,96,96,0.1013414313395818,0.07541914935714364,robust_reg,96,3,4042
Infection,dlt_only,0.8645833333333334,0.34396424742808945,0.3333333333333333,0.473879102207274,-61.44578313253012,96,96,0.1013414313395818,0.07541914935714364,robust_reg,96,3,4042
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,0.65625,0.4774521193960599,-24.096385542168676,96,96,0.1013414313395818,0.07541914935714364,robust_reg,96,3,4042
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.58147656881682,1.1784421685095796,8.333298369280348,96,96,0.1013414313395818,0.07541914935714364,robust_reg,96,3,4042
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.07291666666666667,0.2613645031536837,-89.55223880597015,96,96,0.1013414313395818,0.07541914935714364,robust_reg,96,3,4042
Any_DLT,all_constraints,0.8695652173913043,0.3386265505758479,0.9891304347826086,0.10425720702853734,13.749999999999996,96,92,0.20520412176847458,0.13898358988368517,robust_reg,96,3,4042
Blood,all_constraints,0.8695652173913043,0.3386265505758479,0.9891304347826086,0.10425720702853734,13.749999999999996,96,92,0.20520412176847458,0.13898358988368517,robust_reg,96,3,4042
