feature,dlt,blood,constitutional,infection,gi,os
Doxorubicin_Inst,0.0,0.0045509296,0.00027508615,0.0011052379,0.0,0.0
Epirubicin_Inst,0.0,0.002091521,0.0,0.00070653495,0.008982341198831775,0.0
Erlotinib_Inst,0.0,0.0,0.0,0.0,2.492059379336023e-05,0.00043462648806174106
Etoposide_Inst,0.0,0.0015095841,0.0,0.0009338592,0.0,0.0
Fluorouracil_Inst,0.0075107976,0.005826046,0.003934241,0.010558843,0.008414113714344366,0.16784110865288884
Gemcitabine_Inst,0.0,0.0,0.0,0.0,0.0,0.0
Heptaplatin_Inst,0.0,0.0,0.0,0.0,0.0,0.0
Irinotecan_Inst,0.0,0.0005029556,0.0014984732,0.006031549,0.0,0.0
Leucovorin_Inst,0.004937192,0.00072272023,0.006493221,0.0056350674,0.0,0.0
Levoleucovorin_Inst,0.0,0.0,0.0,0.0,0.0,0.0
Methotrexate_Inst,0.0011705146,0.0047098,0.0,0.0,0.0018170736510568109,0.0
Mitomycin_Inst,0.0,0.0018962534,0.0,0.0017607845,0.010760560110744732,0.0
Mitoxantrone_Inst,0.0,0.0,0.0,0.0,0.0,0.0
Oxaliplatin_Inst,0.0,0.0,0.0026569555,0.00067159825,0.0,0.10273831606060738
Paclitaxel_Inst,0.0,0.0010738438,0.0,0.0015014746,0.018167486611005465,0.0
Pemetrexed_Inst,0.0,0.0,0.0,0.0,1.2076819853074152e-05,0.0
S-1_Inst,0.0,0.0,0.0,0.0028583289,2.9402933838250682e-05,0.0
Triazinate_Inst,0.00036286897,0.0,0.0,0.00020316569,0.0,0.0
Trimetrexate_Inst,0.0,0.0,0.0,0.0,0.00029695025339793163,0.0
UFT_Inst,0.0,0.0,0.0,0.0,0.011876768151448206,0.0
Vinorelbine_Inst,0.0,9.669889e-05,0.0,0.0,0.0,0.0
