method,knob,feas,obj
nominal,0.0,0.8698666198666198,10.938995398858497
cp@coherent,1.0,0.8574207324207325,10.777322967494062
cp@coherent,0.75,0.8574207324207325,10.777322967494062
cp@coherent,0.5,0.8574207324207325,10.777322967494062
cp@coherent,0.25,0.8574207324207325,10.777322967494062
cp@coherent,0.1,0.8574207324207325,10.777322967494062
robust_reg@coherent,0.1,0.8774423774423774,11.03162276986662
robust_reg@coherent,0.25,0.8774423774423774,10.921631237781632
robust_reg@coherent,0.5,0.8630952380952381,10.882805711264467
robust_reg@coherent,0.75,0.9001696501696501,10.906460407121415
robust_reg@coherent,1.0,0.8993506493506493,10.671879214815043
wrapper@coherent,0.4,0.8869047619047619,10.26953460612529
wrapper@coherent,0.3,0.8944805194805194,10.319753813392834
wrapper@coherent,0.2,0.8785246285246285,10.225636200959695
wrapper@coherent,0.1,0.817962442962443,10.28656543855345
wrapper@coherent,0.0,0.6778401778401778,9.885926446189485
cp@incoherent,1.0,0.8582251082251082,10.45918279250932
cp@incoherent,0.75,0.8658008658008658,10.504853288908844
cp@incoherent,0.5,0.8658008658008658,10.504853288908844
cp@incoherent,0.25,0.8658008658008658,10.504853288908844
cp@incoherent,0.1,0.8658008658008658,10.504853288908844
robust_reg@incoherent,0.1,0.8901515151515152,11.0342814818685
robust_reg@incoherent,0.25,0.8993506493506493,11.029344453876437
robust_reg@incoherent,0.5,0.8782613782613782,10.819454410757944
robust_reg@incoherent,0.75,0.8690622440622441,10.831623350364165
robust_reg@incoherent,1.0,0.8766526266526267,10.854132629817279
wrapper@incoherent,0.4,0.880967005967006,10.616762752111002
wrapper@incoherent,0.3,0.8777056277056277,10.57460148491096
wrapper@incoherent,0.2,0.9383116883116883,10.484009877847178
wrapper@incoherent,0.1,0.8633877383877384,10.29041777444118
wrapper@incoherent,0.0,0.6726921726921726,9.81799090323524
