name,outcome_label,linear,svm,cart,rf,gbm,xgb
dlt,Any DLT,0.22917697531296496,0.12854583792168492,0.12190688195111352,0.17758178872169306,0.1938433649224534,0.20629861160629615
blood,Blood,0.16773835532076953,0.0018265720653490413,0.12833319026310702,0.19865080136979726,0.21727167671824454,0.22778506024350484
constitutional,Constitutional,0.12246261024425191,0.049340602370611594,0.06342266898929458,0.1727904866399757,0.16397515602375928,0.17278884633324937
infection,Infection,0.11957241167574957,-0.08177047223511147,0.09410017749084025,0.14463722267707857,0.1215464594468314,0.15891072940020406
gi,Gastrointestinal,0.19868635349274283,0.11553730948621296,-0.013991573104773392,0.14920219084310898,0.15708196692837328,0.16970739265517465
os,Overall Survival,0.476719234875118,0.4235519664491222,0.3243115477003634,0.4177916898014932,0.3986108526037843,0.4377474899174948
