name,outcome_label,linear,svm,cart,rf,gbm,xgb,ensemble
dlt,Any DLT,0.0,0.44095285461248146,0.17703416965983299,0.5142122820017943,0.4223768070224857,0.5602076411119843,0.42251669770451095
blood,Blood,0.08862286391927887,0.3290699235427772,0.15968170337957244,0.6266364151655017,0.679389362063844,0.8693743695695926,0.5467128423381944
constitutional,Constitutional,0.0,0.3425088133317349,0.1251059451600276,0.6507984828699599,0.5572229087789808,0.6222039872987941,0.45340879676710344
infection,Infection,0.0,0.27277898339998097,0.15335391581087832,0.5838335460747905,0.468421495357383,0.46371716052757284,0.38330643901460215
gi,Gastrointestinal,0.0,0.34530055486647393,0.2862349313938439,0.614032793925968,0.5041558268517605,0.3880495802039219,0.42284065772802526
os,Overall Survival,0.14683201019579017,0.6529221162253565,0.44357405644513603,0.7881809463995546,0.9112602611740377,0.7837851403331212,0.7253698917507754
