outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method
Any_DLT,all_constraints,0.8152173913043478,0.3902478171817211,0.9891304347826086,0.10425720702853734,21.333333333333332,96,92,0.6992061336835226,0.9315588797339157,cp
Blood,all_constraints,0.8043478260869565,0.3988756294854575,1.0,0.0,24.32432432432432,96,92,0.6992061336835226,0.9315588797339157,cp
Constitutional,all_constraints,0.9130434782608695,0.2833152987899314,0.9891304347826086,0.10425720702853734,8.333333333333336,96,92,0.6992061336835226,0.9315588797339157,cp
Infection,all_constraints,0.8586956521739131,0.3502439256481348,1.0,0.0,16.45569620253164,96,92,0.6992061336835226,0.9315588797339157,cp
Gastrointestinal,all_constraints,0.782608695652174,0.41473113113479426,0.9782608695652174,0.14662959759729013,24.999999999999993,96,92,0.6992061336835226,0.9315588797339157,cp
Overall_Survival,all_constraints,10.764627385294448,1.9090626190788014,11.720562788497702,1.4626439495569568,8.880338993518318,96,92,0.6992061336835226,0.9315588797339157,cp
all_constraints,all_constraints,0.6195652173913043,0.4881539863416777,0.967391304347826,0.17858337274913305,56.14035087719298,96,92,0.6992061336835226,0.9315588797339157,cp
Any_DLT,all_constraints,0.8352941176470589,0.373116183345764,0.9764705882352941,0.15247721049352903,16.901408450704217,96,85,0.18402462701002756,0.07609796860391456,tree_violation
Blood,all_constraints,0.8,0.40237390808147827,0.8235294117647058,0.3834824944236852,2.941176470588225,96,85,0.18402462701002756,0.07609796860391456,tree_violation
Constitutional,all_constraints,0.9411764705882353,0.23669053416557545,1.0,0.0,6.250000000000002,96,85,0.18402462701002756,0.07609796860391456,tree_violation
Infection,all_constraints,0.8823529411764706,0.3241018617760822,0.9058823529411765,0.293725228409004,2.66666666666667,96,85,0.18402462701002756,0.07609796860391456,tree_violation
Gastrointestinal,all_constraints,0.8,0.40237390808147827,0.9882352941176471,0.1084652289093281,23.52941176470588,96,85,0.18402462701002756,0.07609796860391456,tree_violation
Overall_Survival,all_constraints,10.850856033407789,1.9276868437001526,12.056307681960904,1.4129895027128452,11.109276953281395,96,85,0.18402462701002756,0.07609796860391456,tree_violation
all_constraints,all_constraints,0.6588235294117647,0.47691821142849733,0.8117647058823529,0.39321984784531894,23.214285714285715,96,85,0.18402462701002756,0.07609796860391456,tree_violation
