method,objective,models_embedded,solve_time,iterations,true_feasible,true_constraint_val,feasibility_rate,worst_violation,pred_mean,pred_std
nominal,-1.3055229485034943,1,1.2837014198303223,,False,1.0673942558055662,0.22,0.08890230740762295,1.018020348380305,0.025020582200190076
robust_cls,-1.308165192604065,1,1.83809494972229,,False,1.0726693084764558,0.2,0.07878596705601959,1.0189098516850215,0.02517411816704116
wrapper,-1.2845218181610107,20,366.25249123573303,,False,1.0366736353591874,0.8,0.03984615240553624,0.9783336205042401,0.02815293799235376
random,-1.2826082408428192,21,351.86096358299255,,False,1.0313717354798149,0.86,0.047301429920293625,0.9734515247063247,0.025839349155435388
ccg,-1.137390524148941,20,8350.544253826141,20.0,True,0.8094389840258378,1.0,-0.19717123627644628,0.7471580166042429,0.022745910629284917
