iteration,obj_value,violation
1,-2.0,1.4584107461709386
2,-2.0,1.4584107461709386
3,-1.3133081197738647,0.2979114737326263
4,-1.2919013798236847,0.27483551664146133
5,-1.2480991631746439,0.34800248463406613
6,-1.2393079698085785,0.16696544903423516
7,-1.2198871970176697,0.11018881764755539
8,-1.2069215774536133,0.02188183390051024
9,-1.2069215774536133,0.18833746495269632
10,-1.1964342594146729,0.06631392249887247
11,-1.1964342594146729,0.11319136196516588
12,-1.1964342594146729,0.3167893164359201
13,-1.185148909687996,0.07873850397681537
14,-1.185148909687996,0.019644323626260896
15,-1.18256576359272,0.25123000228941295
16,-1.1821776628494263,0.00750963103202773
17,-1.1821776628494263,0.15173665187547436
18,-1.1821776628494263,0.25465355399517
19,-1.1709027588367462,0.004784265032898638
20,-1.1662233471870422,0.05780577263246678
21,-1.1592015027999878,0.0029769182039507402
22,-1.1551116704940796,0.08018394152151398
23,-1.1501967906951904,0.031156653706989834
24,-1.1501967906951904,0.016975517002821405
25,-1.1501967906951904,0.20201305477931664
26,-1.1392453610897064,0.018916146086652486
27,-1.128721922636032,-0.003940047825492066
