method,knob,fold,context_idx,slack,binding,lomo_flip,lomo_sd,x_star
cp@rho=1,10.0,0,-1,3.9933804091916585,benzene_constraint,0.0,0.3422918909595845,1096.898;899.0369838;997.18;0.5;45.11743095
cp@rho=1,10.0,1,-1,1.994293563306563,benzene_constraint,0.0,0.5081626653476703,1096.898;1011.40829;997.18;0.9571621237;10.51689418
cp@rho=1,10.0,2,-1,4.5926918380639705,benzene_constraint,0.0,0.464120034301555,1096.898;756.0254822;997.18;0.9826054847;10
cp@rho=1,10.0,3,-1,5.036786659743349,benzene_constraint,0.0,0.29418846189185976,1096.898;811.3253129;997.18;0.5;39.09063972
cp@rho=1,10.0,4,-1,3.6973885408423826,benzene_constraint,0.0,0.3360921121447481,1096.898;896.8020003;997.18;0.72628401;28.60513603
cp@rho=1,10.0,5,-1,4.386757726279193,benzene_constraint,0.0,0.7585752501456239,1096.898;1051.598073;997.18;0.5;26.18177718
cp@rho=1,10.0,6,-1,2.2500411089591097,benzene_constraint,0.0,0.6277461515269093,1096.898;981.8511139;997.18;1;10
cp@rho=1,10.0,7,-1,3.1362216589308716,benzene_constraint,0.0,0.5582240648276313,1096.898;904.3978102;997.18;0.9694963063;10
cp@rho=1,10.0,8,-1,4.064123090506747,benzene_constraint,0.0,0.5084600879668777,1096.898;817.5740464;997.18;0.9799179388;10
cp@rho=1,10.0,9,-1,3.221401166345501,benzene_constraint,0.0,0.5518161191488451,1096.898;899.6685931;997.18;0.9636483029;10
cp@rho=1,3.0,0,-1,3.9933804091916585,benzene_constraint,0.0,0.3422918909595845,1096.898;899.0369838;997.18;0.5;45.11743095
cp@rho=1,3.0,1,-1,1.994293563306563,benzene_constraint,0.0,0.5081626653476703,1096.898;1011.40829;997.18;0.9571621237;10.51689418
cp@rho=1,3.0,2,-1,3.233120536241138,benzene_constraint,0.0,0.32153036519210615,1096.898;913.6836255;997.18;0.7723663724;25.36154293
cp@rho=1,3.0,3,-1,2.730681490164322,benzene_constraint,0.0,0.4819626906130444,1096.898;924.159682;997.18;1.040307551;10.40307551
cp@rho=1,3.0,4,-1,2.8959225447155745,benzene_constraint,0.0,0.35214669035057283,1096.898;901.5249278;997.18;0.9570404356;18.78218356
cp@rho=1,3.0,5,-1,2.803487487005839,benzene_constraint,0.0,0.4942835679489749,1096.898;907.1953888;997.18;1.016038751;10.16038751
cp@rho=1,3.0,6,-1,2.2500411089591097,benzene_constraint,0.0,0.6277461515269093,1096.898;981.8511139;997.18;1;10
cp@rho=1,3.0,7,-1,3.3909526847678606,benzene_constraint,0.0,0.3917850720196932,1096.898;952.5170183;997.18;0.5;42.00521592
cp@rho=1,3.0,8,-1,3.725845312731444,benzene_constraint,0.0,0.3464139379609126,1096.898;891.083015;997.18;0.6958870983;33.65209717
cp@rho=1,3.0,9,-1,3.221401166345501,benzene_constraint,0.0,0.5518161191488451,1096.898;899.6685931;997.18;0.9636483029;10
cp@rho=1,1.0,0,-1,2.861294044604797,benzene_constraint,0.0,0.46701462524368803,1096.898;936.2531484;997.18;1.026185851;11.70341926
cp@rho=1,1.0,1,-1,0.8904015115674753,benzene_constraint,0.0,0.456417069565732,1096.898;1063.736614;997.18;1.033126365;10.33126365
