problem,method,rho,dial_name,search,dial,robustness_rank,reason
gastric,cp,0.5,tau,adaptive,1.0,0,not reached: eval budget 5 spent
gastric,cp,0.5,tau,adaptive,0.001,6,not reached: eval budget 5 spent
gastric,wrapper,0.5,alpha,adaptive,0.5,0,not reached: eval budget 5 spent
gastric,wrapper,0.5,alpha,adaptive,0.05,6,not reached: eval budget 5 spent
gastric,wrapper,0.5,alpha,adaptive,0.0,7,not reached: eval budget 5 spent
gastric,cp,1.0,tau,adaptive,0.003,5,not reached: eval budget 5 spent
gastric,cp,1.0,tau,adaptive,0.001,6,not reached: eval budget 5 spent
gastric,wrapper,1.0,alpha,adaptive,0.1,5,"pruned: more robust than alpha=0.15, which fell below the solved floor"
gastric,wrapper,1.0,alpha,adaptive,0.05,6,"pruned: more robust than alpha=0.15, which fell below the solved floor"
gastric,wrapper,1.0,alpha,adaptive,0.0,7,"pruned: more robust than alpha=0.15, which fell below the solved floor"
gastric,margin,,margin,adaptive,0.625,6,not reached: eval budget 6 spent
gastric,margin,,margin,adaptive,0.75,7,not reached: eval budget 6 spent
gastric,margin,,margin,adaptive,0.875,8,not reached: eval budget 6 spent
gastric,margin,,margin,adaptive,1.0,9,not reached: eval budget 6 spent
gastric,margin,,margin,adaptive,1.25,10,not reached: eval budget 6 spent
gastric,margin,,margin,adaptive,1.5,11,not reached: eval budget 6 spent
gastric,cmicl,,alpha,adaptive,0.4,1,"pruned: more robust than alpha=0.5, which fell below the solved floor"
gastric,cmicl,,alpha,adaptive,0.2,3,"pruned: more robust than alpha=0.5, which fell below the solved floor"
gastric,cmicl,,alpha,adaptive,0.15,4,"pruned: more robust than alpha=0.5, which fell below the solved floor"
gastric,cmicl,,alpha,adaptive,0.075,6,"pruned: more robust than alpha=0.5, which fell below the solved floor"
gastric,cmicl,,alpha,adaptive,0.05,7,"pruned: more robust than alpha=0.5, which fell below the solved floor"
gastric,cmicl,,alpha,adaptive,0.03,8,"pruned: more robust than alpha=0.5, which fell below the solved floor"
gastric,cmicl,,alpha,adaptive,0.02,9,"pruned: more robust than alpha=0.5, which fell below the solved floor"
