problem,method,feasibility,objective,solved_frac,status,n_capped,master_time_s,test_time_s,test_time_per_point_s,coherent,matched_bank,seed,rho,param,param_swept,knob,phase
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.9726411700248718,3.1810569167137146,0.08775329425417144,False,False,13,0.05,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.9726411700248718,3.1810569167137146,0.08775329425417144,False,False,13,0.1,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.9726411700248718,3.1810569167137146,0.08775329425417144,False,False,13,0.2,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.9726411700248718,3.1810569167137146,0.08775329425417144,False,False,13,0.3,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.9726411700248718,3.1810569167137146,0.08775329425417144,False,False,13,0.5,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.9726411700248718,3.1810569167137146,0.08775329425417144,False,False,13,0.75,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.9726411700248718,3.1810569167137146,0.08775329425417144,False,False,13,1.0,,none,0.0,param_sweep
gastric,cp,0.9155196097006442,11.243597328807489,0.8912483912483913,coverage_cap,0,269.29849725961685,6.781714916229248,0.18708179079253098,False,False,13,0.05,0.05,rho,0.01,param_sweep
gastric,cp,0.904185520361991,11.098053276378335,0.892067392067392,coverage_cap,0,221.91567242145538,7.6737396121025085,0.21168936860972437,False,False,13,0.1,0.1,rho,0.01,param_sweep
gastric,cp,0.900197963800905,11.082702195337568,0.892067392067392,coverage_cap,0,242.91736352443695,8.86985057592392,0.2446855331289357,False,False,13,0.2,0.2,rho,0.01,param_sweep
gastric,cp,0.9316473756128928,10.875475734654659,0.8617497367497369,coverage_cap,0,171.0322983264923,11.666932880878448,0.32184642430009514,False,False,13,0.3,0.3,rho,0.01,param_sweep
gastric,cp,0.9462288375331854,10.43209574526643,0.8152421902421902,coverage_cap,0,279.8371617794037,19.193584501743317,0.5294781931515398,False,False,13,0.5,0.5,rho,0.01,param_sweep
gastric,cp,0.9719696969696969,9.802711139559321,0.6800046800046801,coverage_cap,0,498.826551258564,25.278112053871155,0.6973272290723077,False,False,13,0.75,0.75,rho,0.01,param_sweep
gastric,cp,0.9519300144300145,9.713709602930866,0.6386158886158886,coverage_cap,0,800.1409432291985,29.6237490773201,0.8172068710984854,False,False,13,1.0,1.0,rho,0.01,param_sweep
gastric,wrapper,0.904441391941392,11.235529774897712,0.8777202527202528,optimal,0,10.799697577953339,50.91541653871536,1.4045632148611134,False,False,13,0.05,0.05,rho,0.2,param_sweep
gastric,wrapper,0.8896165753750893,11.143139469544597,0.8498595998595998,optimal,0,17.103222906589508,60.53529691696167,1.6699392252954943,False,False,13,0.1,0.1,rho,0.2,param_sweep
gastric,wrapper,0.8930252100840337,11.002435284250357,0.8403825903825903,optimal,0,30.43794536590576,75.42737185955048,2.080755085780703,False,False,13,0.2,0.2,rho,0.2,param_sweep
gastric,wrapper,0.8763678451178452,11.162701299862047,0.8057651807651807,optimal,0,27.866553008556366,66.90388208627701,1.8456243334145381,False,False,13,0.3,0.3,rho,0.2,param_sweep
gastric,wrapper,0.8832142857142857,11.030638984020502,0.6948783198783199,optimal,0,52.26061111688614,85.65021526813507,2.3627645591209676,False,False,13,0.5,0.5,rho,0.2,param_sweep
gastric,wrapper,0.9472727272727273,10.802374493281546,0.7008160758160759,optimal,0,27.613504350185394,81.44402009248734,2.2467315887582715,False,False,13,0.75,0.75,rho,0.2,param_sweep
gastric,wrapper,0.9235058922558923,10.337325452078112,0.6562097812097812,optimal,0,35.36493355035782,123.24490576982498,3.399859469512413,False,False,13,1.0,1.0,rho,0.2,param_sweep
gastric,margin,0.9036992521367521,11.254503458006337,0.9450830700830701,optimal,0,0.5735101699829102,3.046143412590027,0.0840315424162766,False,False,13,0.05,0.05,margin,0.05,param_sweep
gastric,margin,0.8993341727716727,11.191827885261361,0.929931554931555,optimal,0,0.6292490363121033,3.3386959433555603,0.09210195705808442,False,False,13,0.1,0.1,margin,0.1,param_sweep
gastric,margin,0.9306223290598291,10.974085279495563,0.9223557973557974,optimal,0,0.7237113118171692,3.6934085488319397,0.10188713238157075,False,False,13,0.2,0.2,margin,0.2,param_sweep
gastric,margin,0.9281536172161172,10.681606589921408,0.8777202527202528,optimal,0,0.6594961881637573,3.27436101436615,0.09032720039630758,False,False,13,0.3,0.3,margin,0.3,param_sweep
gastric,margin,0.9615942028985507,9.852660515016348,0.6488826488826489,optimal,0,0.8096100091934204,3.3742586970329285,0.0930829985388394,False,False,13,0.5,0.5,margin,0.5,param_sweep
gastric,margin,1.0,8.78250046992688,0.20287820287820288,optimal,0,0.9969152212142944,1.8550803661346436,0.051174630789921204,False,False,13,0.75,0.75,margin,0.75,param_sweep
gastric,margin,,,0.0,optimal,0,1.7569268941879272,0.43617844581604004,0.012032508850097656,False,False,13,1.0,1.0,margin,1.0,param_sweep
