method,knob,fold,context_idx,solved,feasible,objective
wrapper@rho=4,0.4,0,-1,1.0,0.0,2995.1742317357734
wrapper@rho=4,0.4,1,-1,1.0,0.0,2963.520066626044
wrapper@rho=4,0.4,2,-1,1.0,0.0,3032.561643255647
wrapper@rho=4,0.4,3,-1,1.0,0.0,2973.519061868782
wrapper@rho=4,0.4,4,-1,1.0,0.0,2932.056388968687
wrapper@rho=4,0.4,5,-1,1.0,0.0,2957.6494436084313
wrapper@rho=4,0.4,6,-1,1.0,0.0,2966.2253424913965
wrapper@rho=4,0.4,7,-1,1.0,0.0,2881.26624536664
wrapper@rho=4,0.4,8,-1,1.0,0.0,2889.547059384836
wrapper@rho=4,0.4,9,-1,1.0,0.0,2983.649802923214
wrapper@rho=4,0.15,0,-1,1.0,0.0,3099.835823838287
wrapper@rho=4,0.15,1,-1,1.0,0.0,3065.393042719661
wrapper@rho=4,0.15,2,-1,1.0,0.0,3170.006697853632
wrapper@rho=4,0.15,3,-1,1.0,0.0,3051.795471967945
wrapper@rho=4,0.15,4,-1,1.0,0.0,3063.846311881724
wrapper@rho=4,0.15,5,-1,1.0,0.0,3111.303116283782
wrapper@rho=4,0.15,6,-1,1.0,0.0,3100.1580180309
wrapper@rho=4,0.15,7,-1,1.0,0.0,2999.129104509129
wrapper@rho=4,0.15,8,-1,1.0,0.0,3003.55610883212
wrapper@rho=4,0.15,9,-1,1.0,0.0,3078.667432452778
wrapper@rho=4,0.05,0,-1,1.0,1.0,3189.416526862556
wrapper@rho=4,0.05,1,-1,1.0,0.0,3144.570577843981
wrapper@rho=4,0.05,2,-1,1.0,1.0,3224.495764358681
wrapper@rho=4,0.05,3,-1,1.0,0.0,3098.865694299115
wrapper@rho=4,0.05,4,-1,1.0,0.0,3124.9999496296923
wrapper@rho=4,0.05,5,-1,1.0,1.0,3177.5080555947193
wrapper@rho=4,0.05,6,-1,1.0,0.0,3189.23541442479
wrapper@rho=4,0.05,7,-1,1.0,0.0,3044.690021446704
wrapper@rho=4,0.05,8,-1,1.0,0.0,3076.4649939457645
wrapper@rho=4,0.05,9,-1,1.0,1.0,3145.186255075112
wrapper@rho=4,0.0,0,-1,1.0,0.0,3244.835489329285
wrapper@rho=4,0.0,1,-1,1.0,1.0,3250.8439583921004
wrapper@rho=4,0.0,2,-1,1.0,1.0,3311.6231048912086
wrapper@rho=4,0.0,3,-1,1.0,0.0,3111.474509230646
wrapper@rho=4,0.0,4,-1,1.0,0.0,3168.840353620318
wrapper@rho=4,0.0,5,-1,1.0,1.0,3200.9346818678464
wrapper@rho=4,0.0,6,-1,1.0,1.0,3242.2016832999507
wrapper@rho=4,0.0,7,-1,1.0,0.0,3112.8091563139465
wrapper@rho=4,0.0,8,-1,1.0,0.0,3208.7080834228027
wrapper@rho=4,0.0,9,-1,1.0,1.0,3191.620520610249
wrapper@rho=4,0.1,0,-1,1.0,0.0,3124.4552726423544
wrapper@rho=4,0.1,1,-1,1.0,0.0,3100.5926470776953
wrapper@rho=4,0.1,2,-1,1.0,0.0,3183.390186022489
wrapper@rho=4,0.1,3,-1,1.0,0.0,3068.423030973469
wrapper@rho=4,0.1,4,-1,1.0,0.0,3097.581882783149
wrapper@rho=4,0.1,5,-1,1.0,0.0,3136.3801111328803
wrapper@rho=4,0.1,6,-1,1.0,0.0,3116.9186233234336
wrapper@rho=4,0.1,7,-1,1.0,0.0,3015.008040904581
wrapper@rho=4,0.1,8,-1,1.0,0.0,3027.159427337017
wrapper@rho=4,0.1,9,-1,1.0,0.0,3130.1380486908247
wrapper@rho=5,0.4,0,-1,1.0,0.0,2995.6667932092128
wrapper@rho=5,0.4,1,-1,1.0,0.0,3031.3483847153743
wrapper@rho=5,0.4,2,-1,1.0,0.0,3041.162113377171
wrapper@rho=5,0.4,3,-1,1.0,0.0,2988.195918076896
wrapper@rho=5,0.4,4,-1,1.0,0.0,3018.213116916306
wrapper@rho=5,0.4,5,-1,1.0,0.0,2996.035170718002
wrapper@rho=5,0.4,6,-1,1.0,0.0,2992.0044014151645
wrapper@rho=5,0.4,7,-1,1.0,0.0,2963.6027875061413
wrapper@rho=5,0.4,8,-1,1.0,0.0,3005.7720249582044
wrapper@rho=5,0.4,9,-1,1.0,0.0,2961.3905978405014
wrapper@rho=5,0.15,0,-1,1.0,0.0,3130.323746857522
wrapper@rho=5,0.15,1,-1,1.0,0.0,3115.676441609613
wrapper@rho=5,0.15,2,-1,1.0,0.0,3249.253401594742
wrapper@rho=5,0.15,3,-1,1.0,0.0,3100.5920969501285
wrapper@rho=5,0.15,4,-1,1.0,1.0,3223.0107127301553
wrapper@rho=5,0.15,5,-1,1.0,0.0,3090.1385729369777
wrapper@rho=5,0.15,6,-1,1.0,0.0,3112.165060279138
wrapper@rho=5,0.15,7,-1,1.0,0.0,3068.742864593087
wrapper@rho=5,0.15,8,-1,1.0,0.0,3153.5437690169074
wrapper@rho=5,0.15,9,-1,1.0,0.0,3130.493528248289
wrapper@rho=5,0.05,0,-1,1.0,0.0,3166.253585112095
wrapper@rho=5,0.05,1,-1,1.0,0.0,3245.4765135379184
wrapper@rho=5,0.05,2,-1,1.0,1.0,3307.0648761067814
wrapper@rho=5,0.05,3,-1,1.0,0.0,3139.8581557740376
wrapper@rho=5,0.05,4,-1,1.0,1.0,3288.160228806953
wrapper@rho=5,0.05,5,-1,1.0,0.0,3155.807165467032
wrapper@rho=5,0.05,6,-1,1.0,0.0,3164.311349920274
wrapper@rho=5,0.05,7,-1,1.0,0.0,3086.3115448547182
wrapper@rho=5,0.05,8,-1,1.0,0.0,3214.6348748306677
wrapper@rho=5,0.05,9,-1,1.0,1.0,3207.073412809172
wrapper@rho=5,0.0,0,-1,1.0,1.0,3222.8396912118287
wrapper@rho=5,0.0,1,-1,1.0,0.0,3277.1430645360556
wrapper@rho=5,0.0,2,-1,1.0,1.0,3331.962174995752
wrapper@rho=5,0.0,3,-1,1.0,1.0,3236.354460305998
wrapper@rho=5,0.0,4,-1,1.0,1.0,3347.5310388378853
wrapper@rho=5,0.0,5,-1,1.0,0.0,3228.033866172422
