problem,method,feasibility,objective,solved_frac,status,n_capped,master_time_s,test_time_s,test_time_per_point_s,coherent,matched_bank,rho,knob,phase
gastric,nominal,0.8819196428571429,11.005122261576986,0.9442786942786943,optimal,0,0.5229839086532593,4.3858031034469604,0.1209876718192265,True,False,0.05,0.0,rho_sweep
gastric,cp,0.9175234232534741,10.881091772266224,0.875043875043875,optimal,0,28.708630979061127,7.034016370773315,0.19404183091788457,True,False,0.05,0.01,rho_sweep
gastric,wrapper,0.902041303976788,10.718684992497817,0.8117321867321867,optimal,0,21.921052157878876,53.33039742708206,1.4711833772988154,True,False,0.05,0.2,rho_sweep
gastric,robust_reg,0.8899193548387098,11.024803188191285,0.9375219375219375,optimal,0,2.336917757987976,3.4713026881217957,0.09576007415508402,True,False,0.05,0.05,rho_sweep
gastric,nominal,0.8819196428571429,11.005122261576986,0.9442786942786943,optimal,0,1.0555159449577332,3.4578254222869873,0.09538828751136516,True,False,0.1,0.0,rho_sweep
gastric,cp,0.9108669108669109,10.679819602496032,0.837998712998713,optimal,0,50.064730405807495,9.405028879642487,0.2594490725418617,True,False,0.1,0.01,rho_sweep
gastric,wrapper,0.89415770609319,10.603876993078478,0.781970281970282,optimal,0,16.136776208877563,61.508696377277374,1.6967916242007552,True,False,0.1,0.2,rho_sweep
gastric,robust_reg,0.9255756578947368,11.00472097020482,0.9475254475254475,optimal,0,1.3060489296913147,4.284953415393829,0.11820561145914012,True,False,0.1,0.1,rho_sweep
gastric,nominal,0.8819196428571429,11.005122261576986,0.9442786942786943,optimal,0,0.37442851066589355,3.5555750727653503,0.0980848295935269,True,False,0.2,0.0,rho_sweep
gastric,cp,0.9272331691297209,10.596594509250725,0.8201269451269452,optimal,0,80.19220352172852,12.587083458900452,0.34722988852139175,True,False,0.2,0.01,rho_sweep
gastric,wrapper,0.868989898989899,10.625959018495585,0.6856938106938107,optimal,0,16.691479861736298,63.5779464840889,1.7538743857679695,True,False,0.2,0.2,rho_sweep
gastric,robust_reg,0.8667251361912096,10.898218664904439,0.9231747981747982,optimal,0,1.0014994740486145,3.8529951572418213,0.10628952157908472,True,False,0.2,0.2,rho_sweep
gastric,nominal,0.8819196428571429,11.005122261576986,0.9442786942786943,optimal,0,0.3961937427520752,4.077042818069458,0.11247014670536436,True,False,0.3,0.0,rho_sweep
gastric,cp,0.9580627705627706,10.590443703323043,0.820097695097695,optimal,0,87.46550852060318,11.876120507717133,0.32761711745426575,True,False,0.3,0.01,rho_sweep
gastric,wrapper,0.886954887218045,10.555867425456965,0.6554054054054054,optimal,0,21.762048423290253,52.19007182121277,1.4397261192058695,True,False,0.3,0.2,rho_sweep
gastric,robust_reg,0.9061565696302124,10.984412467103434,0.9275038025038026,optimal,0,1.2032588124275208,3.140933871269226,0.08664645162122003,True,False,0.3,0.3,rho_sweep
gastric,nominal,0.8819196428571429,11.005122261576986,0.9442786942786943,optimal,0,0.3816138505935669,3.2958053946495056,0.09091876950757256,True,False,0.5,0.0,rho_sweep
gastric,cp,0.8976320638820638,10.347625835314211,0.7376418626418627,optimal,0,215.94397193193436,17.851681888103485,0.49246019001664787,True,False,0.5,0.01,rho_sweep
gastric,wrapper,0.9403508771929825,10.5669844191288,0.5950772200772202,optimal,0,23.860770344734192,58.969182193279266,1.6267360605042556,True,False,0.5,0.2,rho_sweep
gastric,robust_reg,0.9034142468239564,10.843136479464603,0.918041418041418,optimal,0,1.03310626745224,3.776474356651306,0.104178602942105,True,False,0.5,0.5,rho_sweep
gastric,nominal,0.8819196428571429,11.005122261576986,0.9442786942786943,optimal,0,0.400451123714447,3.1913774609565735,0.08803799892293995,True,False,0.75,0.0,rho_sweep
gastric,cp,0.936802738336714,10.00184050261046,0.6453872703872704,optimal,0,325.9473770260811,24.873002350330353,0.6861517889746305,True,False,0.75,0.01,rho_sweep
gastric,wrapper,0.9666666666666667,10.400541423500012,0.481996606996607,optimal,0,20.923783659934998,53.2614284157753,1.4692807838834565,True,False,0.75,0.2,rho_sweep
gastric,robust_reg,0.9330357142857143,10.551673708102982,0.9123669123669124,optimal,0,1.0380436778068542,3.5134984254837036,0.09692409449610218,True,False,0.75,0.75,rho_sweep
gastric,nominal,0.8819196428571429,11.005122261576986,0.9442786942786943,optimal,0,0.39766114950180054,3.228618085384369,0.08906532649336191,True,False,1.0,0.0,rho_sweep
gastric,cp,0.9336538461538462,9.629925857909102,0.5896513396513396,optimal,0,493.61812472343445,35.89185082912445,0.9901200228723986,True,False,1.0,0.01,rho_sweep
gastric,wrapper,0.9682539682539684,10.385038058308208,0.4500994500994501,optimal,0,25.329648673534393,59.36049109697342,1.6375307888820254,True,False,1.0,0.2,rho_sweep
gastric,robust_reg,0.8871081504702195,10.311056760535845,0.908037908037908,optimal,0,3.9571582674980164,3.746339499950409,0.10334729655035611,True,False,1.0,1.0,rho_sweep
