method,knob,n_dec,feas,undecided_k0.25,feas_lo_k0.25,feas_hi_k0.25,undecided_k0.5,feas_lo_k0.5,feas_hi_k0.5,undecided_k1,feas_lo_k1,feas_hi_k1,lomo_flip_mean,lomo_any_frac,lomo_sd_median,target_inside_band,median_abs_z
cmicl,0.1,12,0.9166666666666666,0.16666666666666666,0.8333333333333334,1.0,0.4166666666666667,0.5833333333333334,1.0,0.9166666666666666,0.08333333333333333,1.0,0.04166666666666666,0.16666666666666666,0.011933763102766452,True,0.5546468511119065
cmicl,0.3,92,0.9782608695652174,0.17391304347826086,0.8260869565217391,1.0,0.391304347826087,0.6086956521739131,1.0,0.9891304347826086,0.010869565217391304,1.0,0.016304347826086953,0.06521739130434782,0.01112793540712025,True,0.5577858274914489
cmicl,0.4,111,0.972972972972973,0.1981981981981982,0.8018018018018018,1.0,0.4594594594594595,0.5405405405405406,1.0,0.9819819819819819,0.018018018018018018,1.0,0.02102102102102102,0.05405405405405406,0.0111031341580497,True,0.532373800281241
cmicl,0.5,122,0.9344262295081968,0.23770491803278687,0.7459016393442623,0.9836065573770492,0.5163934426229508,0.48360655737704916,1.0,0.9918032786885246,0.00819672131147541,1.0,0.0013661202185792345,0.00819672131147541,0.010192964545202798,True,0.49162631996241224
cmicl,0.6,130,0.9153846153846154,0.24615384615384617,0.7384615384615385,0.9846153846153847,0.6230769230769231,0.3769230769230769,1.0,1.0,0.0,1.0,0.015384615384615384,0.05384615384615385,0.01036859163465415,True,0.4245523635257318
cmicl,0.7,133,0.849624060150376,0.2781954887218045,0.6917293233082706,0.9699248120300752,0.6165413533834586,0.38345864661654133,1.0,1.0,0.0,1.0,0.017543859649122806,0.06015037593984962,0.0101491816536697,True,0.42698663725166297
cmicl,0.8,137,0.8102189781021898,0.25547445255474455,0.6642335766423357,0.9197080291970803,0.5328467153284672,0.46715328467153283,1.0,1.0,0.0,1.0,0.014598540145985398,0.06569343065693431,0.0109856348416965,True,0.4912752075440171
cmicl,0.9,137,0.7591240875912408,0.15328467153284672,0.656934306569343,0.8102189781021898,0.4233576642335766,0.48175182481751827,0.9051094890510949,1.0,0.0,1.0,0.0121654501216545,0.043795620437956206,0.0113941896760146,True,0.5355312677385238
cmicl,0.95,137,0.7226277372262774,0.1386861313868613,0.6423357664233577,0.781021897810219,0.4233576642335766,0.45985401459854014,0.8832116788321167,1.0,0.0,1.0,0.0097323600973236,0.0364963503649635,0.0114905338819098,False,0.5387386150985496
cmicl,1.0,137,0.7226277372262774,0.1386861313868613,0.6423357664233577,0.781021897810219,0.4233576642335766,0.45255474452554745,0.8759124087591241,1.0,0.0,1.0,0.0097323600973236,0.0364963503649635,0.0114905338819098,False,0.5355312677385238
cp@rho=0.5,0.0001,98,0.9591836734693877,0.1326530612244898,0.8673469387755102,1.0,0.30612244897959184,0.6938775510204082,1.0,0.9897959183673469,0.01020408163265306,1.0,0.01020408163265306,0.04081632653061224,0.0106330268373191,True,0.5864933190009919
cp@rho=0.5,0.0003,98,0.9591836734693877,0.1326530612244898,0.8673469387755102,1.0,0.30612244897959184,0.6938775510204082,1.0,0.9897959183673469,0.01020408163265306,1.0,0.01020408163265306,0.04081632653061224,0.0106330268373191,True,0.5864933190009919
cp@rho=0.5,0.001,99,0.9595959595959596,0.13131313131313133,0.8686868686868687,1.0,0.29292929292929293,0.7070707070707071,1.0,0.98989898989899,0.010101010101010102,1.0,0.0101010101010101,0.04040404040404041,0.0105196146733365,True,0.5798619223485872
cp@rho=0.5,0.003,98,0.9591836734693877,0.1326530612244898,0.8673469387755102,1.0,0.29591836734693877,0.7040816326530612,1.0,0.9897959183673469,0.01020408163265306,1.0,0.01020408163265306,0.04081632653061224,0.0104335923502703,True,0.5830306218081607
cp@rho=0.5,0.01,107,0.9626168224299065,0.102803738317757,0.897196261682243,1.0,0.2897196261682243,0.7102803738317757,1.0,0.9813084112149533,0.018691588785046728,1.0,0.009345794392523364,0.037383177570093455,0.0103475700272041,True,0.5775164996939721
cp@rho=0.5,0.03,120,0.9666666666666667,0.1,0.8833333333333333,0.9833333333333333,0.325,0.675,1.0,0.9833333333333333,0.016666666666666666,1.0,0.005555555555555554,0.025,0.01022751201026895,True,0.5809130422224414
cp@rho=0.5,0.1,134,0.8805970149253731,0.1865671641791045,0.7910447761194029,0.9776119402985074,0.48507462686567165,0.5149253731343284,1.0,0.9925373134328358,0.007462686567164179,1.0,0.024875621890547258,0.08955223880597014,0.01067807876411755,True,0.5037157121549216
cp@rho=0.5,0.3,138,0.8913043478260869,0.17391304347826086,0.8043478260869565,0.9782608695652174,0.41304347826086957,0.5869565217391305,1.0,0.9927536231884058,0.007246376811594203,1.0,0.021739130434782605,0.07246376811594203,0.011056932393676201,True,0.5343660424256785
cp@rho=0.5,1.0,138,0.8913043478260869,0.17391304347826086,0.8043478260869565,0.9782608695652174,0.41304347826086957,0.5869565217391305,1.0,0.9927536231884058,0.007246376811594203,1.0,0.021739130434782605,0.07246376811594203,0.011056932393676201,True,0.5343660424256785
cp@rho=0.5,3.0,138,0.8913043478260869,0.17391304347826086,0.8043478260869565,0.9782608695652174,0.41304347826086957,0.5869565217391305,1.0,0.9927536231884058,0.007246376811594203,1.0,0.021739130434782605,0.07246376811594203,0.011056932393676201,True,0.5343660424256785
cp@rho=0.5,10.0,138,0.8913043478260869,0.17391304347826086,0.8043478260869565,0.9782608695652174,0.41304347826086957,0.5869565217391305,1.0,0.9927536231884058,0.007246376811594203,1.0,0.021739130434782605,0.07246376811594203,0.011056932393676201,True,0.5343660424256785
cp@rho=1,0.0001,93,0.978494623655914,0.06451612903225806,0.9247311827956989,0.989247311827957,0.26881720430107525,0.7311827956989247,1.0,0.989247311827957,0.010752688172043012,1.0,0.005376344086021504,0.021505376344086023,0.0108403164365352,True,0.6403146704736243
cp@rho=1,0.0003,93,0.978494623655914,0.06451612903225806,0.9247311827956989,0.989247311827957,0.26881720430107525,0.7311827956989247,1.0,0.989247311827957,0.010752688172043012,1.0,0.0035842293906810036,0.010752688172043012,0.0108610205866654,True,0.6458411359828444
cp@rho=1,0.001,92,0.9782608695652174,0.07608695652173914,0.9130434782608695,0.9891304347826086,0.2717391304347826,0.7282608695652174,1.0,0.9891304347826086,0.010869565217391304,1.0,0.003623188405797101,0.010869565217391304,0.010935488730426449,True,0.6461514987551193
cp@rho=1,0.003,93,0.978494623655914,0.06451612903225806,0.9247311827956989,0.989247311827957,0.3010752688172043,0.6989247311827957,1.0,0.989247311827957,0.010752688172043012,1.0,0.005376344086021504,0.021505376344086023,0.0108575607522784,True,0.6273839942904583
cp@rho=1,0.01,107,0.9719626168224299,0.102803738317757,0.8878504672897196,0.9906542056074766,0.3364485981308411,0.6635514018691588,1.0,1.0,0.0,1.0,0.003115264797507788,0.009345794392523364,0.011513015058481,True,0.5852633474732771
cp@rho=1,0.03,112,0.9642857142857143,0.16964285714285715,0.8303571428571429,1.0,0.375,0.625,1.0,1.0,0.0,1.0,0.008928571428571426,0.044642857142857144,0.0115394992142243,True,0.5794732245829335
cp@rho=1,0.1,127,0.9448818897637795,0.2047244094488189,0.7952755905511811,1.0,0.47244094488188976,0.5275590551181102,1.0,1.0,0.0,1.0,0.01312335958005249,0.05511811023622047,0.0111154713214297,True,0.5093171356214651
cp@rho=1,0.3,135,0.8518518518518519,0.2222222222222222,0.7407407407407407,0.9629629629629629,0.5037037037037037,0.4888888888888889,0.9925925925925925,0.9925925925925926,0.007407407407407408,1.0,0.014814814814814814,0.05925925925925926,0.0113430702698299,True,0.49858066469828
cp@rho=1,1.0,138,0.8913043478260869,0.17391304347826086,0.8043478260869565,0.9782608695652174,0.41304347826086957,0.5869565217391305,1.0,0.9927536231884058,0.007246376811594203,1.0,0.021739130434782605,0.07246376811594203,0.011056932393676201,True,0.5343660424256785
cp@rho=1,3.0,138,0.8913043478260869,0.17391304347826086,0.8043478260869565,0.9782608695652174,0.41304347826086957,0.5869565217391305,1.0,0.9927536231884058,0.007246376811594203,1.0,0.021739130434782605,0.07246376811594203,0.011056932393676201,True,0.5343660424256785
cp@rho=1,10.0,138,0.8913043478260869,0.17391304347826086,0.8043478260869565,0.9782608695652174,0.41304347826086957,0.5869565217391305,1.0,0.9927536231884058,0.007246376811594203,1.0,0.021739130434782605,0.07246376811594203,0.011056932393676201,True,0.5343660424256785
cp@rho=1@cpalpha=0,0.1,127,0.9448818897637795,0.2047244094488189,0.7952755905511811,1.0,0.47244094488188976,0.5275590551181102,1.0,1.0,0.0,1.0,0.01181102362204724,0.047244094488188976,0.0109856348416965,True,0.5093171356214651
