problem,method,feasibility,objective,solved_frac,status,n_capped,master_time_s,test_time_s,test_time_per_point_s,coherent,matched_bank,seed,rho,param,param_swept,knob,phase
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.7533453702926636,3.208454430103302,0.08850908772698764,False,False,42,0.05,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.7533453702926636,3.208454430103302,0.08850908772698764,False,False,42,0.1,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.7533453702926636,3.208454430103302,0.08850908772698764,False,False,42,0.2,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.7533453702926636,3.208454430103302,0.08850908772698764,False,False,42,0.3,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.7533453702926636,3.208454430103302,0.08850908772698764,False,False,42,0.5,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.7533453702926636,3.208454430103302,0.08850908772698764,False,False,42,0.75,,none,0.0,param_sweep
gastric,nominal,0.8911458333333333,11.302147218982885,0.9510354510354511,optimal,0,0.7533453702926636,3.208454430103302,0.08850908772698764,False,False,42,1.0,,none,0.0,param_sweep
gastric,cp,0.9047461797461798,11.114208974372588,0.8869340119340119,coverage_cap,0,472.0940608382225,9.770436704158783,0.2695292883905871,False,False,42,0.05,0.05,rho,0.01,param_sweep
gastric,cp,0.9129117147707979,11.100780563712872,0.8801626301626302,coverage_cap,0,200.56572329998016,7.461114406585693,0.20582384569891568,False,False,42,0.1,0.1,rho,0.01,param_sweep
gastric,cp,0.9099662162162162,11.075956714523912,0.859058734058734,coverage_cap,0,122.82819724082947,8.455877006053925,0.23326557258079791,False,False,42,0.2,0.2,rho,0.01,param_sweep
gastric,cp,0.9185159214651049,10.765803100385737,0.8422838422838422,coverage_cap,0,206.8740378022194,9.447019636631012,0.26060743825189,False,False,42,0.3,0.3,rho,0.01,param_sweep
gastric,cp,0.96875,10.663119246715393,0.7357259857259857,coverage_cap,0,349.56465035676956,14.01298326253891,0.38656505551831477,False,False,42,0.5,0.5,rho,0.01,param_sweep
gastric,cp,0.9677018633540372,10.047264651728291,0.7089475839475841,coverage_cap,0,518.9639005661011,16.581745982170105,0.4574274753702098,False,False,42,0.75,0.75,rho,0.01,param_sweep
gastric,cp,0.9802631578947368,9.500214743650314,0.7276237276237276,coverage_cap,0,675.4425155520439,25.386971354484558,0.700330244261643,False,False,42,1.0,1.0,rho,0.01,param_sweep
gastric,wrapper,0.8969386469386469,11.183079908091381,0.8523019773019772,optimal,0,15.376409709453583,40.61150234937668,1.1203173061897014,False,False,42,0.05,0.05,rho,0.2,param_sweep
gastric,wrapper,0.9153727591227592,11.110460726417205,0.8295747045747045,optimal,0,30.897009193897247,38.82439464330673,1.071017783263634,False,False,42,0.1,0.1,rho,0.2,param_sweep
gastric,wrapper,0.9091589150887063,11.037125476526896,0.7754767754767755,optimal,0,24.100275814533234,50.230430603027344,1.3856670511179956,False,False,42,0.2,0.2,rho,0.2,param_sweep
gastric,wrapper,0.9305208333333334,11.087711799282005,0.6935474435474436,optimal,0,13.164070010185242,48.59150302410126,1.340455255837276,False,False,42,0.3,0.3,rho,0.2,param_sweep
gastric,wrapper,0.9410714285714286,10.879815703047623,0.6789078039078039,optimal,0,37.21580457687378,48.24578332901001,1.330918160800276,False,False,42,0.5,0.5,rho,0.2,param_sweep
gastric,wrapper,0.9025557775557775,10.956729861702982,0.6215923715923716,optimal,0,17.38635414838791,50.47628915309906,1.3924493559475604,False,False,42,0.75,0.75,rho,0.2,param_sweep
gastric,wrapper,0.96875,10.627756170988972,0.5052650052650052,optimal,0,17.548223733901978,51.032535552978516,1.4077940842200969,False,False,42,1.0,1.0,rho,0.2,param_sweep
gastric,margin,0.9036992521367521,11.254503458006337,0.9450830700830701,optimal,0,0.6000675559043884,3.056810200214386,0.08432579862660375,False,False,42,0.05,0.05,margin,0.05,param_sweep
gastric,margin,0.8993341727716727,11.191827885261361,0.929931554931555,optimal,0,0.625931978225708,3.329657733440399,0.09185262712939032,False,False,42,0.1,0.1,margin,0.1,param_sweep
gastric,margin,0.9306223290598291,10.974085279495563,0.9223557973557974,optimal,0,0.7614214420318604,3.575214922428131,0.09862661854974154,False,False,42,0.2,0.2,margin,0.2,param_sweep
gastric,margin,0.9281536172161172,10.681606589921408,0.8777202527202528,optimal,0,0.6761939525604248,3.14280766248703,0.0866981424134353,False,False,42,0.3,0.3,margin,0.3,param_sweep
gastric,margin,0.9615942028985507,9.852660515016348,0.6488826488826489,optimal,0,0.9664668440818787,3.3553743958473206,0.09256205229923643,False,False,42,0.5,0.5,margin,0.5,param_sweep
gastric,margin,1.0,8.78250046992688,0.20287820287820288,optimal,0,1.092896282672882,1.7696774005889893,0.048818686912799704,False,False,42,0.75,0.75,margin,0.75,param_sweep
gastric,margin,,,0.0,optimal,0,1.9915369153022766,0.42822396755218506,0.011813074966956829,False,False,42,1.0,1.0,margin,1.0,param_sweep
