method,knob,fold,context_idx,solved,feasible,objective
cp@rho=1,0.001,3,-1,1.0,0.0,5.751219061972873
cp@rho=1,0.001,4,-1,1.0,0.0,5.679420883667013
cp@rho=1,0.001,5,-1,1.0,0.0,5.643026219783101
cp@rho=1,0.001,6,-1,1.0,1.0,5.726601083701984
cp@rho=1,0.001,7,-1,1.0,1.0,5.744336264043899
cp@rho=1,0.001,8,-1,1.0,0.0,5.693202531222251
cp@rho=1,0.001,9,-1,1.0,1.0,5.710157621668171
cp@rho=1,0.0003,0,-1,1.0,0.0,5.672622029610489
cp@rho=1,0.0003,1,-1,1.0,0.0,5.7491549959192145
cp@rho=1,0.0003,2,-1,1.0,0.0,5.688591522989966
cp@rho=1,0.0003,3,-1,1.0,0.0,5.751219061972873
cp@rho=1,0.0003,4,-1,1.0,0.0,5.679420883667013
cp@rho=1,0.0003,5,-1,1.0,0.0,5.643026219783101
cp@rho=1,0.0003,6,-1,1.0,1.0,5.726601083701984
cp@rho=1,0.0003,7,-1,1.0,1.0,5.744336264043899
cp@rho=1,0.0003,8,-1,1.0,0.0,5.693202531222251
cp@rho=1,0.0003,9,-1,1.0,1.0,5.710157621668171
cp@rho=1,0.0001,0,-1,1.0,0.0,5.672622029610489
cp@rho=1,0.0001,1,-1,1.0,0.0,5.7491549959192145
cp@rho=1,0.0001,2,-1,1.0,0.0,5.688591522989966
cp@rho=1,0.0001,3,-1,1.0,0.0,5.751219061972873
cp@rho=1,0.0001,4,-1,1.0,0.0,5.679420883667013
cp@rho=1,0.0001,5,-1,1.0,0.0,5.643026219783101
cp@rho=1,0.0001,6,-1,1.0,1.0,5.726601083701984
cp@rho=1,0.0001,7,-1,1.0,1.0,5.744336264043899
cp@rho=1,0.0001,8,-1,1.0,0.0,5.693202531222251
cp@rho=1,0.0001,9,-1,1.0,1.0,5.710157621668171
wrapper@rho=1,0.95,0,-1,1.0,0.0,5.341655394104454
wrapper@rho=1,0.95,1,-1,1.0,0.0,5.382873521410366
wrapper@rho=1,0.95,2,-1,1.0,0.0,5.359829745144923
wrapper@rho=1,0.95,3,-1,1.0,0.0,5.36393866827199
wrapper@rho=1,0.95,4,-1,1.0,0.0,5.3537788036309175
wrapper@rho=1,0.95,5,-1,1.0,0.0,5.373897582073985
wrapper@rho=1,0.95,6,-1,1.0,0.0,5.256707912612628
wrapper@rho=1,0.95,7,-1,1.0,0.0,5.321744642049483
wrapper@rho=1,0.95,8,-1,1.0,0.0,5.173290489515839
wrapper@rho=1,0.95,9,-1,1.0,0.0,5.364833466193546
wrapper@rho=1,0.9,0,-1,1.0,0.0,5.348099961292537
wrapper@rho=1,0.9,1,-1,1.0,0.0,5.422043726885636
wrapper@rho=1,0.9,2,-1,1.0,0.0,5.391155336308618
wrapper@rho=1,0.9,3,-1,1.0,0.0,5.397706498146546
wrapper@rho=1,0.9,4,-1,1.0,0.0,5.380109530256748
wrapper@rho=1,0.9,5,-1,1.0,0.0,5.3805404517370965
wrapper@rho=1,0.9,6,-1,1.0,0.0,5.302546422021047
wrapper@rho=1,0.9,7,-1,1.0,0.0,5.382304316319192
wrapper@rho=1,0.9,8,-1,1.0,0.0,5.338074544234226
wrapper@rho=1,0.9,9,-1,1.0,0.0,5.383342572671267
wrapper@rho=1,0.8,0,-1,1.0,0.0,5.407721184078253
wrapper@rho=1,0.8,1,-1,1.0,0.0,5.447227456918735
wrapper@rho=1,0.8,2,-1,1.0,0.0,5.436468760993286
wrapper@rho=1,0.8,3,-1,1.0,0.0,5.431232381475084
wrapper@rho=1,0.8,4,-1,1.0,0.0,5.4148539187987845
wrapper@rho=1,0.8,5,-1,1.0,0.0,5.408516720543893
wrapper@rho=1,0.8,6,-1,1.0,0.0,5.432405139568087
wrapper@rho=1,0.8,7,-1,1.0,0.0,5.405298451638654
wrapper@rho=1,0.8,8,-1,1.0,0.0,5.383833680548783
wrapper@rho=1,0.8,9,-1,1.0,0.0,5.401555831048324
wrapper@rho=1,0.7,0,-1,1.0,0.0,5.447460136778544
wrapper@rho=1,0.7,1,-1,1.0,0.0,5.468573698737267
wrapper@rho=1,0.7,2,-1,1.0,0.0,5.460609536716302
wrapper@rho=1,0.7,3,-1,1.0,0.0,5.459273758515416
wrapper@rho=1,0.7,4,-1,1.0,0.0,5.437731770213828
wrapper@rho=1,0.7,5,-1,1.0,0.0,5.448563366411116
wrapper@rho=1,0.7,6,-1,1.0,0.0,5.455147245473309
wrapper@rho=1,0.7,7,-1,1.0,0.0,5.423769041048178
wrapper@rho=1,0.7,8,-1,1.0,0.0,5.399331835145367
wrapper@rho=1,0.7,9,-1,1.0,0.0,5.414618543293222
wrapper@rho=1,0.6,0,-1,1.0,0.0,5.462860994092216
wrapper@rho=1,0.6,1,-1,1.0,0.0,5.477370673950122
wrapper@rho=1,0.6,2,-1,1.0,0.0,5.478638112117354
wrapper@rho=1,0.6,3,-1,1.0,0.0,5.481207371657727
wrapper@rho=1,0.6,4,-1,1.0,0.0,5.467478842031692
wrapper@rho=1,0.6,5,-1,1.0,0.0,5.466121256636001
wrapper@rho=1,0.6,6,-1,1.0,0.0,5.4664748794799145
wrapper@rho=1,0.6,7,-1,1.0,0.0,5.451711524342559
wrapper@rho=1,0.6,8,-1,1.0,0.0,5.4206874190225225
wrapper@rho=1,0.6,9,-1,1.0,0.0,5.464476348979691
wrapper@rho=1,0.5,0,-1,1.0,0.0,5.472089982295204
wrapper@rho=1,0.5,1,-1,1.0,0.0,5.490721803561078
wrapper@rho=1,0.5,2,-1,1.0,0.0,5.506647725764293
wrapper@rho=1,0.5,3,-1,1.0,0.0,5.499651454122318
wrapper@rho=1,0.5,4,-1,1.0,0.0,5.481245104070636
wrapper@rho=1,0.5,5,-1,1.0,0.0,5.476253370215653
wrapper@rho=1,0.5,6,-1,1.0,0.0,5.479713369204229
wrapper@rho=1,0.5,7,-1,1.0,0.0,5.471405137754639
wrapper@rho=1,0.5,8,-1,1.0,0.0,5.472240727656485
wrapper@rho=1,0.5,9,-1,1.0,0.0,5.479683496905144
wrapper@rho=1,0.4,0,-1,1.0,0.0,5.495663465628291
wrapper@rho=1,0.4,1,-1,1.0,0.0,5.522969000041778
wrapper@rho=1,0.4,2,-1,1.0,0.0,5.523439956648106
wrapper@rho=1,0.4,3,-1,1.0,0.0,5.514245756298742
wrapper@rho=1,0.4,4,-1,1.0,0.0,5.492714671339133
wrapper@rho=1,0.4,5,-1,1.0,0.0,5.505333485157639
wrapper@rho=1,0.4,6,-1,1.0,0.0,5.490284308385983
wrapper@rho=1,0.4,7,-1,1.0,0.0,5.492380932503784
wrapper@rho=1,0.4,8,-1,1.0,0.0,5.496602855307718
wrapper@rho=1,0.4,9,-1,1.0,0.0,5.515899507423181
wrapper@rho=1,0.3,0,-1,1.0,0.0,5.500248150197559
wrapper@rho=1,0.3,1,-1,1.0,0.0,5.546334208386369
wrapper@rho=1,0.3,2,-1,1.0,0.0,5.541656016373907
wrapper@rho=1,0.3,3,-1,1.0,0.0,5.5275839887609255
wrapper@rho=1,0.3,4,-1,1.0,0.0,5.521157199491642
wrapper@rho=1,0.3,5,-1,1.0,0.0,5.521716813639765
