method,knob,n_dec,feas,undecided_k0.25,feas_lo_k0.25,feas_hi_k0.25,undecided_k0.5,feas_lo_k0.5,feas_hi_k0.5,undecided_k1,feas_lo_k1,feas_hi_k1,lomo_flip_mean,lomo_any_frac,lomo_sd_median,target_inside_band,median_abs_z
cp@rho=2,0.0003,10,0.9,0.2,0.8,1.0,0.5,0.5,1.0,0.9,0.1,1.0,0.09999999999999999,0.2,0.3527856743037786,True,0.4861738741297531
cp@rho=2,0.001,10,0.9,0.2,0.8,1.0,0.5,0.5,1.0,0.9,0.1,1.0,0.09999999999999999,0.2,0.3527856743037786,True,0.4861738741297531
cp@rho=2,0.003,10,0.9,0.2,0.8,1.0,0.5,0.5,1.0,0.9,0.1,1.0,0.09999999999999999,0.2,0.3527856743037786,True,0.4861738741297531
cp@rho=2,0.01,10,0.9,0.2,0.8,1.0,0.5,0.5,1.0,0.9,0.1,1.0,0.09999999999999999,0.2,0.3527856743037786,True,0.4861738741297531
cp@rho=2,0.03,10,0.9,0.2,0.8,1.0,0.5,0.5,1.0,0.9,0.1,1.0,0.09999999999999999,0.2,0.3527856743037786,True,0.49085819466230096
cp@rho=2,0.1,10,0.9,0.2,0.8,1.0,0.5,0.5,1.0,0.9,0.1,1.0,0.09999999999999999,0.2,0.3527856743037786,True,0.4861738741297531
cp@rho=2,0.3,10,0.9,0.2,0.8,1.0,0.5,0.5,1.0,0.9,0.1,1.0,0.07142857142857142,0.2,0.3527856743037786,True,0.4861738741297531
cp@rho=2,1.0,10,0.7,0.3,0.6,0.8999999999999999,0.6,0.3,0.8999999999999999,1.0,0.0,1.0,0.09999999999999999,0.3,0.3759381757128333,False,0.429974071588494
cp@rho=2,3.0,10,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4,0.0,0.4,0.0,0.0,0.38904154324260565,False,1.1639787871675047
cp@rho=2,10.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.508311376657274,False,1.7556549387040463
cp@rho=3,0.0001,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.2574503782885604,False,1.5342866517365144
cp@rho=3,0.0003,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.2574503782885604,False,1.5342866517365144
cp@rho=3,0.001,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.2574503782885604,False,1.5342866517365144
cp@rho=3,0.003,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.2574503782885604,False,1.5342866517365144
cp@rho=3,0.01,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.2574503782885604,False,1.5342866517365144
cp@rho=3,0.03,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.2574503782885604,False,1.5342866517365144
cp@rho=3,0.1,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.2574503782885604,False,1.5342866517365144
cp@rho=3,0.3,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.24625676302581906,False,1.5342866517365144
cp@rho=3,1.0,10,0.9,0.3,0.7,1.0,0.3,0.7,1.0,0.4,0.6,1.0,0.08571428571428572,0.3,0.2834233480605443,True,1.2665136712696619
cp@rho=3,3.0,10,0.5,0.1,0.4,0.5,0.6,0.2,0.8,0.7,0.2,0.8999999999999999,0.04285714285714285,0.1,0.3051535703475591,False,0.4671626329819267
cp@rho=3,10.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.508311376657274,False,1.601274413961109
cp@rho=4,0.0001,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.35841614393449445,False,2.046892621516876
cp@rho=4,0.0003,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.35841614393449445,False,2.046892621516876
cp@rho=4,0.001,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.35841614393449445,False,2.046892621516876
cp@rho=4,0.003,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3607427616552996,False,2.046892621516876
cp@rho=4,0.01,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3612774464730226,False,2.046892621516876
cp@rho=4,0.03,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3612774464730226,False,2.046892621516876
cp@rho=4,0.1,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3612774464730226,False,2.080159623309439
cp@rho=4,0.3,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.35306001581336904,False,2.0630326877817575
cp@rho=4,1.0,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.36124124342989616,False,2.003057479856473
cp@rho=4,3.0,10,0.7,0.1,0.7,0.7999999999999999,0.1,0.7,0.7999999999999999,0.5,0.5,1.0,0.02857142857142857,0.1,0.35800485894270095,False,1.0646845301190273
cp@rho=4,10.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.509891342422589,False,1.6245221300703165
cp@rho=5,0.0001,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3426800880777583,False,2.2447370388630947
cp@rho=5,0.0003,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3426800880777583,False,2.2447370388630947
cp@rho=5,0.001,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3426800880777583,False,2.2447370388630947
cp@rho=5,0.003,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3426800880777583,False,2.2447370388630947
cp@rho=5,0.01,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3426800880777583,False,2.2447370388630947
cp@rho=5,0.03,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3426800880777583,False,2.2447370388630947
cp@rho=5,0.1,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.34501747615090905,False,2.2447370388630947
cp@rho=5,0.3,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3537903131559779,False,2.2447370388630947
cp@rho=5,1.0,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3982022934668392,False,2.319606787536129
cp@rho=5,3.0,10,0.8,0.0,0.8,0.8,0.3,0.6,0.8999999999999999,0.6,0.4,1.0,0.0,0.0,0.3388197418272655,False,0.9798804299891305
cp@rho=5,10.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.3583782827255768,False,1.5195392039133642
cp@rho=6,0.0001,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.34994871420558343,False,2.1690069075538143
cp@rho=6,0.0003,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.34994871420558343,False,2.1690069075538143
cp@rho=6,0.001,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.34994871420558343,False,2.1690069075538143
cp@rho=6,0.003,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.34994871420558343,False,2.1690069075538143
cp@rho=6,0.01,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.34994871420558343,False,2.1690069075538143
cp@rho=6,0.03,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.34994871420558343,False,2.1690069075538143
cp@rho=6,0.1,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.34994871420558343,False,2.1690069075538143
cp@rho=6,0.3,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.3538741912801058,False,2.180076114134774
cp@rho=6,1.0,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.3781490835813027,False,2.0970471508393413
cp@rho=6,3.0,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.34556766005356804,False,1.7791437420666134
cp@rho=6,10.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.38538360976339275,False,1.455169725864429
margin,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.508311376657274,False,1.7556549387040463
margin,0.1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5192356679864272,False,1.6707956011318825
margin,0.2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.48900701342591274,False,1.5947536814410792
margin,0.3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.5033833101927822,False,1.5754972323666716
margin,0.4,10,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.490455537444706,False,1.4906870735924789
margin,0.5,10,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.497606336443219,False,1.4850121264834568
margin,0.625,10,0.0,0.1,0.0,0.1,0.2,0.0,0.2,0.2,0.0,0.2,0.02857142857142857,0.1,0.4962886308873211,False,1.358796164255212
margin,0.75,10,0.1,0.1,0.0,0.1,0.2,0.0,0.2,0.2,0.0,0.2,0.01428571428571428,0.1,0.4820412408378222,False,1.3015290405808115
margin,0.875,10,0.1,0.1,0.1,0.2,0.2,0.0,0.2,0.3,0.0,0.3,0.04285714285714285,0.1,0.4420466981453811,False,1.212556001607172
margin,1.0,10,0.1,0.1,0.1,0.2,0.2,0.0,0.2,0.7,0.0,0.7,0.04285714285714285,0.1,0.44674345072031213,False,0.879862300180002
margin,1.25,10,0.2,0.1,0.1,0.2,0.5,0.1,0.6,0.7,0.0,0.7,0.04285714285714285,0.1,0.44900283005792696,False,0.5418399206234494
margin,1.5,10,0.2,0.4,0.2,0.6000000000000001,0.5,0.2,0.7,0.7,0.1,0.7999999999999999,0.12857142857142856,0.4,0.4325134740331807,False,0.5076608002206161
margin,1.75,10,0.6,0.5,0.2,0.7,0.6,0.2,0.8,0.8,0.1,0.9,0.18571428571428567,0.5,0.42227780884054666,False,0.233873695347508
margin,2.0,10,0.7,0.3,0.4,0.7,0.5,0.3,0.8,0.8,0.2,1.0,0.05714285714285713,0.2,0.43696326174588807,False,0.442917663897479
margin,2.5,10,0.7,0.1,0.7,0.7999999999999999,0.3,0.7,1.0,0.9,0.1,1.0,0.04285714285714285,0.2,0.43255773298003286,True,0.8803704724122803
margin,3.0,10,0.8,0.2,0.8,1.0,0.2,0.8,1.0,0.4,0.6,1.0,0.07142857142857142,0.2,0.480105557000918,True,1.0516023635350014
margin,4.0,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1,0.9,1.0,0.0,0.0,0.5240813280412682,False,1.2779245516097633
