problem,method,rho,dial,dial_name,faces_D,feasibility,objective,solved_frac,status,n_capped,master_time_s,test_time_s,test_time_per_point_s,objective_sense,coherent,matched_bank,seed,cp_alpha,phase,note
gastric,cp,0.5,10.0,tau,True,0.8911458333333333,11.301505295950882,0.9510354510354512,optimal,0,3.9476611614227295,5.7449352741241455,0.1584809730792867,max,False,False,42,,dial,
gastric,cp,0.5,3.0,tau,True,0.8911458333333333,11.301505295950882,0.9510354510354512,optimal,0,3.756294548511505,6.285367727279663,0.1733894545456459,max,False,False,42,,dial,
gastric,cp,0.5,1.0,tau,True,0.8911458333333333,11.301505295950882,0.9510354510354512,optimal,0,3.6844659447669983,6.215554058551788,0.1714635602359114,max,False,False,42,,dial,
gastric,cp,0.5,0.3,tau,True,0.8911458333333333,11.301505295950882,0.9510354510354512,optimal,0,3.7450090050697327,6.2897865772247314,0.1735113538544753,max,False,False,42,,dial,
gastric,cp,0.5,0.1,tau,True,0.881006952866036,11.05210807927812,0.9247981747981748,coverage_cap|optimal,0,9.563809096813202,6.605400621891022,0.1822179481900971,max,False,False,42,,dial,
gastric,cp,0.5,0.03,tau,True,0.9736842105263158,10.784377248888688,0.8211945711945712,coverage_cap,0,68.51817148923874,9.472316682338716,0.2613052877886542,max,False,False,42,,dial,
gastric,cp,0.5,0.01,tau,True,0.96875,10.663361822371773,0.7357259857259857,coverage_cap,0,245.76515781879425,15.451769828796388,0.4262557194150727,max,False,False,42,,dial,
gastric,cp,0.5,0.003,tau,True,0.96875,10.472198140844013,0.6716391716391716,coverage_cap,0,395.4825779795647,16.991742491722107,0.4687377239095753,max,False,False,42,,dial,
gastric,cp,0.5,0.001,tau,True,0.9696969696969696,10.42854448560412,0.6775915525915526,coverage_cap,0,429.58949106931686,16.65274703502655,0.4593861251041807,max,False,False,42,,dial,
gastric,cp,0.5,0.0003,tau,True,0.9696969696969696,10.407333351412989,0.6708347958347959,coverage_cap,0,468.7821078300476,17.415570855140686,0.4804295408314672,max,False,False,42,,dial,
gastric,cp,0.5,0.0001,tau,True,0.9696969696969696,10.407333351412989,0.6708347958347959,coverage_cap,0,472.0869787335396,17.515655755996704,0.4831905036137022,max,False,False,42,,dial,
gastric,wrapper,0.5,0.95,alpha,True,0.8578635157945502,11.21752813424884,0.7067684567684568,optimal,0,7.31097948551178,30.8333141207695,0.8505741826419173,max,False,False,42,,dial,
gastric,wrapper,0.5,0.9,alpha,True,0.8578635157945502,11.196554917224502,0.7067684567684568,optimal,0,7.897262632846832,31.3203644156456,0.8640100528453959,max,False,False,42,,dial,
gastric,wrapper,0.5,0.8,alpha,True,0.8578635157945502,11.191032977454622,0.7067684567684568,optimal,0,11.691341817378998,31.24821299314499,0.8620196687764135,max,False,False,42,,dial,
gastric,wrapper,0.5,0.7,alpha,True,0.8692271521581867,11.153854936512738,0.7067684567684568,optimal,0,6.832125306129456,32.48801910877228,0.896221216793718,max,False,False,42,,dial,
gastric,wrapper,0.5,0.6,alpha,True,0.8692271521581867,11.139382463899889,0.7067684567684568,optimal,0,10.872439444065094,33.85916167497635,0.9340458393096924,max,False,False,42,,dial,
gastric,wrapper,0.5,0.5,alpha,True,0.8875881015536189,11.015780529661564,0.6991926991926992,optimal,0,8.784141421318054,40.70082604885101,1.1227814082441658,max,False,False,42,,dial,
gastric,wrapper,0.5,0.4,alpha,True,0.8992970822281168,11.021805469767378,0.6916169416169416,optimal,0,10.89576131105423,40.629871249198914,1.1208240344606597,max,False,False,42,,dial,
gastric,wrapper,0.5,0.3,alpha,True,0.8967970822281167,11.004926288573987,0.6916169416169416,optimal,0,12.92067039012909,41.17133867740631,1.1357610669629328,max,False,False,42,,dial,
gastric,wrapper,0.5,0.2,alpha,True,0.9410714285714286,10.879815703047624,0.6789078039078039,optimal,0,19.30994027853012,45.40422874689102,1.2525304481900972,max,False,False,42,,dial,
gastric,wrapper,0.5,0.15,alpha,True,0.9495833333333332,10.830071762037871,0.6434860184860185,optimal,0,16.185815036296844,47.32459217309952,1.3055059909820557,max,False,False,42,,dial,
gastric,wrapper,0.5,0.1,alpha,True,0.9344607843137256,10.825803400604617,0.6215777465777466,optimal,0,21.283932387828827,49.74739742279053,1.3723419978700837,max,False,False,42,,dial,
gastric,wrapper,0.5,0.05,alpha,True,0.9529166666666666,10.744774992897398,0.5929127179127179,optimal,0,14.837564766407011,45.54094010591507,1.2563017960252434,max,False,False,42,,dial,
gastric,wrapper,0.5,0.0,alpha,True,0.9545454545454546,10.407502382017157,0.5455715455715455,optimal,0,17.731074929237366,38.751917362213135,1.0690184099920863,max,False,False,42,,dial,
gastric,cp,1.0,10.0,tau,True,0.8911458333333333,11.301505295950882,0.9510354510354512,optimal,0,3.991840660572052,6.471880495548248,0.1785346343599516,max,False,False,42,,dial,
gastric,cp,1.0,3.0,tau,True,0.8911458333333333,11.301505295950882,0.9510354510354512,optimal,0,3.821892499923706,6.323492109775543,0.1744411616489805,max,False,False,42,,dial,
gastric,cp,1.0,1.0,tau,True,0.8911458333333333,11.301505295950882,0.9510354510354512,optimal,0,3.847069919109345,6.228412687778473,0.1718182810421647,max,False,False,42,,dial,
