rho,outcome,bounded,n_rows,n_draws,scale,R_c,out_frac,raw_norm,clipped_norm,reach
0.75,dlt_constraint,True,320,30,0.24951258397613768,3.347562594073612,0.005416666666666667,4.152446772322544,4.152256712999284,0.9999542295582144
0.75,blood_constraint,True,320,30,0.2398123806338663,3.217420709660275,0.14135416666666664,3.217420709660275,2.8768703717733057,0.8941542407356085
0.75,constitutional_constraint,True,320,30,0.29386994280729845,3.9426790119665687,0.17458333333333337,3.9426790119665696,3.4458295082152035,0.8739817514326275
0.75,infection_constraint,True,320,30,0.25566066423709344,3.430047746441342,0.15406250000000002,3.430047746441342,3.0354374012507885,0.8849548535876913
0.75,gi_constraint,True,320,30,0.2679061522846595,3.594338208593456,0.16239583333333335,3.594338208593456,3.182218371574375,0.8853419424933993
0.75,os_constraint,False,320,30,2.0475934885850515,27.47134938457269,0.0,27.471349384572694,27.471349384572694,1.0
1.0,dlt_constraint,True,320,30,0.24951258397613768,4.463416792098149,0.007812500000000002,5.011655093715471,5.01135847317643,0.9999408138562023
1.0,blood_constraint,True,320,30,0.2398123806338663,4.289894279547034,0.19031249999999997,4.289894279547032,3.6809941794086374,0.858061746873005
1.0,constitutional_constraint,True,320,30,0.29386994280729845,5.256905349288758,0.23395833333333335,5.256905349288758,4.35643794394576,0.8287077005362428
1.0,infection_constraint,True,320,30,0.25566066423709344,4.5733969952551226,0.20552083333333335,4.5733969952551226,3.862297572872172,0.8445139525126043
1.0,gi_constraint,True,320,30,0.2679061522846595,4.792450944791274,0.21895833333333334,4.792450944791274,4.037752192916685,0.8425234268292633
1.0,os_constraint,False,320,30,2.0475934885850515,36.62846584609692,0.0,36.62846584609692,36.62846584609692,1.0
