method,knob,feas,obj,solved,status,n_capped,master_time_s,test_time_s,test_time_per_point_s
cp@rho=1,2.0813397179706636,0.0,2972.0919981694237,1.0,optimal,0,0.5501390218734741,0.0,0.0
cp@rho=1,1.0406698589853318,0.0,3068.305423450814,1.0,optimal,0,0.7620162963867188,0.0,0.0
cp@rho=1,0.5203349294926659,0.0,3087.619301348332,1.0,optimal,0,1.0556016921997071,0.0,0.0
cp@rho=1,0.20813397179706639,0.0,3099.196014527401,1.0,optimal,0,1.0892362594604492,0.0,0.0
cp@rho=1,0.10406698589853319,0.0,3100.7838006577917,1.0,optimal,0,1.133480143547058,0.0,0.0
cp@rho=1,0.04162679435941327,0.0,3104.510686922101,1.0,optimal,0,1.2111979246139526,0.0,0.0
wrapper@rho=1,0.0,0.0,3047.1582508994666,1.0,optimal,0,0.8647437810897827,0.0,0.0
wrapper@rho=1,0.1,0.0,3023.202129083754,1.0,optimal,0,6.717413997650146,0.0,0.0
wrapper@rho=1,0.2,0.0,3002.0347823635707,1.0,optimal,0,10.030049681663513,0.0,0.0
wrapper@rho=1,0.3,0.0,2980.0534306154086,1.0,optimal,0,9.812207245826722,0.0,0.0
wrapper@rho=1,0.5,0.0,2948.895580943011,1.0,optimal,0,10.937409973144531,0.0,0.0
cp@rho=2,3.278798693932326,0.0,2999.7362154152734,1.0,optimal,0,0.6448910951614379,0.0,0.0
cp@rho=2,1.639399346966163,0.1,3137.720528324887,1.0,optimal,0,1.0494057416915894,0.0,0.0
cp@rho=2,0.8196996734830815,0.4,3178.679874864677,1.0,optimal,0,2.380297636985779,0.0,0.0
cp@rho=2,0.3278798693932326,0.8,3188.2638864911423,1.0,optimal,0,3.0365965604782104,0.0,0.0
cp@rho=2,0.1639399346966163,0.7,3188.361751289451,1.0,optimal,0,3.0247642517089846,0.0,0.0
cp@rho=2,0.06557597387864653,0.7,3190.5732365362455,1.0,optimal,0,3.3488757848739623,0.0,0.0
wrapper@rho=2,0.0,0.1,3099.629546264198,1.0,optimal,0,1.859013605117798,0.0,0.0
wrapper@rho=2,0.1,0.0,3050.5576734687743,1.0,optimal,0,10.93426775932312,0.0,0.0
wrapper@rho=2,0.2,0.0,3021.6761359585626,1.0,optimal,0,19.633144307136536,0.0,0.0
wrapper@rho=2,0.3,0.0,2988.538992351155,1.0,optimal,0,18.95401201248169,0.0,0.0
wrapper@rho=2,0.5,0.0,2939.509370770457,1.0,optimal,0,23.078097891807555,0.0,0.0
nominal,0.0,0.0,2942.0474546181977,1.0,optimal,0,0.5330875158309937,0.0,0.0
margin,0.0,0.0,2942.0474546181977,1.0,optimal,0,2.40366530418396,0.0,0.0
margin,0.1,0.0,2953.323317192393,1.0,optimal,0,2.5011036872863768,0.0,0.0
margin,0.2,0.0,2964.7235960945277,1.0,optimal,0,2.3700305700302122,0.0,0.0
margin,0.3,0.0,2976.1238749966624,1.0,optimal,0,2.2815709590911863,0.0,0.0
margin,0.5,0.0,2998.927504474924,1.0,optimal,0,2.655936598777771,0.0,0.0
margin,0.75,0.0,3027.4840971232097,1.0,optimal,0,2.2910768032073974,0.0,0.0
margin,1.0,0.0,3056.0613089797725,1.0,optimal,0,2.5131526470184324,0.0,0.0
cmicl,0.02,0.3,2542.8075353931454,1.0,infeasible|optimal,0,0.8186386108398438,0.0,0.0
cmicl,0.05,0.3,3150.223426311897,1.0,optimal,0,0.7999879837036132,0.0,0.0
cmicl,0.1,0.2,3116.340458952327,1.0,optimal,0,0.7405223369598388,0.0,0.0
cmicl,0.2,0.0,3080.2263350485873,1.0,optimal,0,0.7331194400787353,0.0,0.0
cmicl,0.3,0.0,3056.59125429319,1.0,optimal,0,0.6764360904693604,0.0,0.0
cmicl,0.5,0.0,3021.399106340204,1.0,optimal,0,0.6943976879119873,0.0,0.0
